Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Azerbaijan,AZE,,,,,,,,,,,,115.4447327,,,,,118.5699081,,,110.4032974,110.1215591,109.0579605,108.1835098,107.7092896,110.4555664,111.7443085,93.25375366,94.52192688,92.9260025,95.48014069,97.20748901,98.86100006,98.34942627,96.21324158,97.26132965,95.52696991,94.21665955,94.77120209,94.07247162,95.068573,93.76229858,95.57363129,97.95530701,100.5004501,106.0598907,,
Burundi,BDI,,28.39640045,27.45465088,23.6915493,21.6046505,21.8485508,21.74748993,21.94874954,23.5907402,23.94602966,25.98900986,28.41640091,32.85694885,40.25481033,45.35147095,49.6518898,53.44612122,59.44522858,66.37055969,67.22473145,67.32597351,68.66266632,65.2125473,64.20947266,,48.1569519,37.63230133,38.97509003,46.56420135,55.15267181,56.9054718,59.68107986,64.46746826,69.87505341,74.71753693,79.06214905,100.0449982,111.2996216,118.0977783,126.0699387,131.456955,135.1190491,133.3052826,130.4593048,127.6357727,,
Belgium,BEL,,107.6630173,106.9794769,101.4153671,104.1059265,104.6761932,105.7609711,106.4010391,106.459938,105.798027,105.6715164,104.8846817,103.9810104,100.6110916,99.57762146,98.71849823,98.94763947,99.83029175,100.8607635,101.0934372,100.5136871,99.67646027,98.24665833,101.6908264,101.0342331,101.0167694,101.2859879,,,103.6700897,104.8607101,104.2411423,103.4199982,102.7209091,101.3165131,101.2247086,101.8401337,102.7928009,103.5233612,103.523262,103.2656403,103.1886215,103.5501633,105.1199722,104.8543167,,
Benin,BEN,,34.51070023,37.40050125,41.13822174,39.38227081,45.82863998,47.60491943,49.59128189,50.39913177,56.38729858,57.76020813,59.83237076,64.04553223,65.61971283,63.61772919,63.77054977,61.89889908,62.29442978,61.27507019,60.75796127,50.93820953,57.78126144,60.9154892,65.88185883,66.1869812,69.43811035,71.80116272,75.38082123,78.31697845,78.40350342,81.20214844,89.10188293,94.3789978,97.84088898,101.5409088,98.54522705,98.79341888,,110.0333633,114.8725891,116.2887802,118.6075211,122.7695313,124.347908,125.561203,,
Burkina Faso,BFA,,12.20559025,12.72924042,13.05107021,13.52604008,14.11695004,14.6145401,15.07219028,15.73085022,16.36038971,17.29204941,18.48386002,20.06352997,21.83785057,23.34260941,25.56907082,27.77662086,29.78624916,30.31632996,31.49872971,32.52550125,33.72296906,34.41490936,35.47658157,36.77635956,38.83549118,40.96957016,,43.31800079,44.28327179,45.01659012,46.43785858,47.06068039,49.31790924,53.88323975,58.33338165,62.06523895,67.66522217,73.20320129,77.55835724,77.83035278,81.28205109,83.68218994,85.26255798,86.89006805,,
Bangladesh,BGD,55.41798019,51.15161133,63.23197174,74.95339203,73.13063812,77.83435059,79.16507721,73.71330261,72.49790955,71.62561798,70.60761261,69.37983704,70.56822205,71.77110291,70.23419189,68.03687286,67.42767334,66.22389221,77.78124237,77.74889374,81.04756165,,,,,,,,,,,,,,,98.66104126,99.40104675,98.60388947,96.54550171,99.76931763,102.6562881,111.8765564,,,,,
Bulgaria,BGR,,106.2386475,104.3197403,102.0527573,99.74690247,96.35240936,98.30579376,100.4195938,103.106781,103.6507874,101.4181213,100.8170929,103.5995789,104.7772217,106.6613464,107.4104767,105.0584412,106.0015869,103.8419189,101.7003403,95.05818939,93.96807861,93.98853302,94.88253784,95.97328186,97.97635651,101.4578323,102.5780487,103.4994278,103.8584366,104.3218307,105.7989197,104.9863205,105.8908081,105.115242,101.197197,98.64306641,100.3754883,101.5363693,102.9260178,103.6331711,101.5005112,100.1289368,99.37438965,99.0790329,,
Bahrain,BHR,,106.4307709,109.7110977,111.8470078,112.9068069,115.3543396,112.3982086,110.3399963,108.4638596,109.2468567,109.1471786,107.0432816,106.1290436,105.3695068,109.7218781,111.1810074,112.5795288,111.9387589,112.1567078,112.7169876,110.2763824,111.3662186,107.8370819,107.6867828,107.034111,107.7527008,107.6388779,107.3157806,106.07901,104.3917313,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,,101.795723,99.91925049,96.3718338,99.39304352,102.4873199,103.536438,105.1924133,106.2783737,104.1939697,101.0023499,101.8918228,100.5042572,100.8989029,95.92694855,105.3753815,106.4903107,,,,98.27638245,95.10762787,94.46897888,95.39305115,94.61691284,95.97303772,101.2785797,98.97808075,99.4588089,96.88800049,,,94.44444275,,103.7418365,109.1632309,107.8449631,111.2169724,111.244339,107.3528976,107.8977509,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22232819,100.4945679,101.225708,100.1723175,,
