DyadId,ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
611,1-81,"Algeria, Morocco",Government of Algeria,,Government of Morocco,600,,1,Common Border,1963,1,2,1963-10-08,1,1963-10-08,1,615,,600,,"600, 615",4,1.0-2016
612,1-79,"Indonesia, Netherlands",Government of Indonesia,,Government of Netherlands,210,,1,West New Guinea,1962,1,2,1962-01-15,1,1962-01-15,1,850,,210,,"210, 850","1, 3",1.0-2016
613,1-77,"China, India",Government of China,,Government of India,750,,1,"Aksai Chin, Arunachal Pradesh",1962,2,2,1959-08-31,3,1962-11-21,1,710,,750,,"710, 750",3,1.0-2016
613,1-77,"China, India",Government of China,,Government of India,750,,1,"Aksai Chin, Arunachal Pradesh",1967,1,2,1959-08-31,3,1967-01-31,3,710,,750,,"710, 750",3,1.0-2016
614,1-52,South Vietnam,Government of South Vietnam,,FNL,1063,,1,South Vietnam,1955,2,3,1955-04-30,3,1955-04-30,3,817,,,,817,3,1.0-2016
614,1-52,South Vietnam,Government of South Vietnam,,FNL,1063,,1,South Vietnam,1956,2,3,1955-04-30,3,1955-04-30,3,817,,,,817,3,1.0-2016
614,1-52,South Vietnam,Government of South Vietnam,,FNL,1063,,1,South Vietnam,1957,2,3,1955-04-30,3,1955-04-30,3,817,,,,817,3,1.0-2016
614,1-52,South Vietnam,Government of South Vietnam,,FNL,1063,,1,South Vietnam,1958,2,3,1955-04-30,3,1955-04-30,3,817,,,,817,3,1.0-2016
614,1-52,South Vietnam,Government of South Vietnam,,FNL,1063,,1,South Vietnam,1959,2,3,1955-04-30,3,1955-04-30,3,817,,,,817,3,1.0-2016
614,1-52,South Vietnam,Government of South Vietnam,,FNL,1063,,1,South Vietnam,1960,2,3,1955-04-30,3,1955-04-30,3,817,,,,817,3,1.0-2016
