Country Name,Country Code,Indicator Name,Indicator Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,304.8532726,351.9792491,346.4104428,240.9634032,244.1271502,193.0702756,235.832244,249.3587559,229.4880613,255.709631,267.1861609,226.8016078,235.5079325,260.808434,332.4237687,371.3951961,406.9988374,422.479938,474.7109451,569.0142638,551.8432409,574.4580893,665.8074467,673.0267834,709.0712477,713.4564416
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,278.3516037,298.144992,285.296976,285.6978098,292.3645263,291.3258679,320.3619277,383.8299551,390.4079054,396.1696495,398.2295463,406.5317405,403.5945462,401.7081533,434.0465632,462.2748798,485.8528881,495.8537802,543.0822631,618.0758836,683.6144223,760.3319352,838.5478017,858.9333626,954.3963997,1086.800087
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,2449.800738,2377.335894,1267.734375,1211.980878,1278.247173,1148.494399,1554.046931,1208.850233,1346.91277,1771.993943,1643.609895,1609.280586,1762.455968,2079.228975,2693.75876,3353.564149,3852.977756,4455.690224,5932.899677,7296.122479,6955.987733,6752.552178,7750.03988,7333.355073,7656.638506,7851.265428
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,8030.25395,8528.760059,9057.563375,9088.63129,9707.566955,10138.47459,10376.36425,10523.08152,10620.34343,10005.23675,10330.73654,13590.52105,12917.3955,13279.0458,14541.61605,16275.18042,18418.07267,19669.31955,21167.61871,23043.02532,19166.70824,20386.01756,22238.71195,23063.13229,24378.94483,24855.21564
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,12157.7892,12350.88048,11914.81213,11682.12886,11402.65152,11812.12238,12239.82781,12717.06038,17288.05651,18456.99077,20505.94743,21241.16539,21497.30816,22505.40479,22008.4337,21995.51992,23405.87955,23721.15628,24306.14242,23657.36531,22043.01257,21920.51659,21514.89865,22112.60835,22315.60365,22217.49414
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,314.5596047,481.1650399,731.1209512,971.5460643,1090.257056,1238.173385,1451.664002,1512.993014,1746.486383,2192.647078,2619.753258,2928.26359,3351.9634,4107.996232,4974.662267,4586.206313,4475.08813,4860.781811,4494.64064,4748.040692,4851.660528
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1209.614881,1273.049124,1244.441997,1479.465321,1819.479028,2378.374894,3126.367778,3848.586203,4735.956889,6376.173115,5176.044701,5818.854859,6305.773662,6721.834908,7722.123351,8025.304356
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1979.342672,2202.322556,2326.833728,2666.922772,2833.075677,2880.154008,2996.397406,3001.693234,2952.575494,2991.860011,3065.517898,3364.464523,3419.208672,3556.616082,3679.792815,3831.60983,3933.234373,4187.23289,4324.831017,4470.220796,4258.842876,4344.136669,4516.23303,4673.555198,4723.594321,4884.36862
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,25517.92172,26841.51974,27700.30952,28669.68226,30900.69489,31476.06312,33989.72236,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,701.4646141,709.9486541,764.1413321,791.381317,788.3991365,806.2211259,887.4682897,958.4735178,1006.964099,1058.718354,1012.510021,1007.002869,958.2363141,913.5758534,917.3643105,978.3347576,1046.427843,1233.592974,1389.63175,1736.924014,1776.85719,1981.160105,2377.70069,2645.290274,2948.032918,3124.080762
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2879.49987,3071.627953,3942.403941,2578.207009,2774.174127,3482.529816,4827.152443,5144.64366,5260.463813,5065.336705,3461.612858,3728.50801,3135.155229,2805.717257,3040.506496,3596.22458,4730.653468,5808.340547,7246.870105,8706.819142,8474.881066,11121.42095,13039.12165,12157.30822,12071.77799,11728.79939
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7732.257279,7727.850593,7733.373704,7464.223599,7842.693318,8148.570378,8537.897388,9069.236722,9549.184429,10726.89319,11200.29068,11568.05194,11513.34018,11674.93618,12028.89874,12869.33659,14223.7777,15646.81501,16461.82927,16569.60496,16526.25455,15901.43294,15530.89429,15317.139,15153.82138,15366.29261
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,11954.40013,13701.89704,14002.10713,15381.31391,14678.07159,14220.63634,16046.98158,16913.93536,16779.33847,12784.76622,14205.77372,18154.83493,16616.79805,17016.94349,18758.98089,22131.94606,26337.91811,31157.68845,32707.70431,37798.3935,27726.48105,31453.2244,41787.0214,41807.65334,39151.23423,40979.64194
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,521.364502,559.8216186,467.65687,474.9128636,453.3890923,529.5484886,595.5104134,617.5547709,702.5389844,706.5620391,764.1242599,778.391266,820.2028589,897.4453332,1009.006232,1107.920596,1257.54864,1346.085775,1755.161709,1810.576177,1786.810672,2201.293078,2485.787052,2452.151588,2383.04473,2560.522132
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,2301.68118,2747.208438,2776.423062,2839.196963,2772.732774,2767.35374,3001.102631,3007.613623,3050.233587,2854.673402,3210.23188,3333.17955,3114.616594,3044.127353,4149.041377,4879.459462,5327.853518,5342.140336,5666.637847,5561.89824,5115.119247,6244.002574,7504.850907,6885.829681,6806.677467,7153.444325
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,429.7903623,490.3995393,457.4552983,457.0583079,403.2931149,261.6021372,334.3654767,294.9204314,268.0862195,270.4307455,273.5813579,245.4343849,245.5632726,256.8506088,290.5096583,318.4837946,332.9466401,353.8944517,404.1131819,463.8276186,454.3693169,446.8002046,488.3573422,472.8182181,317.1673705,351.994226
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,20638.29005,21371.2911,21664.59864,20771.25035,20017.42985,19859.20398,20577.48939,21183.22008,21770.13408,20887.83947,22167.22585,24124.16917,23691.59472,24167.80431,28172.14883,31979.87195,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47445.76193,52083.82622,52495.28847,52266.17568,50185.4815
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,2294.681277,2184.549578,2344.780507,2470.973907,2804.071102,3487.260736,3739.483043,3720.810967,4087.171782,3963.396873,3943.594923,4342.007537,4920.173579,5937.824613,7141.72214,8317.199456,9434.650976,11943.24107,14449.88034,12161.4616,12546.04673,13869.24747,12978.00134,13685.03986,14084.05849
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,30325.75893,38332.15172,38303.04989,39435.53813,38005.32345,41738.97019,48540.57749,46610.05975,40429.93726,41487.69019,40577.33663,37813.23426,38538.64447,41336.72192,47960.56497,53255.97631,54797.54663,57348.92788,63223.46778,72119.56087,69672.00471,74277.12051,88002.60957,83208.68654,84669.29294,85610.84203
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,40538.06446,42406.93285,43299.40114,41609.01948,44158.04026,48227.66551,55844.11669,57209.24916,62260.22555,73568.23483,,,,,,,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2195.54149,2401.525181,2727.573825,3277.669086,3461.435092,3942.967594,5026.720634,5263.191366,5674.153008,5367.211824,4872.692148,5229.177098,4709.9234,4566.523326,4948.74818,6323.75764,7728.611897,9500.835162,10513.54071,10791.02019,10217.31403,12785.05187,14582.17052,15253.33083,15764.75545,14566.14905
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,309.2633852,316.2244304,331.474916,364.7596641,375.8142938,471.7608812,607.5685831,707.0297713,778.9439057,825.5479571,869.6548821,954.5522917,1047.477863,1141.757644,1280.602855,1498.173796,1740.096726,2082.183363,2673.294191,3441.221355,3800.474542,4514.94052,5574.187093,6264.643878,6991.853866,7587.289732
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,830.7928079,887.3854461,832.6844214,854.8364234,818.2228303,595.7925412,763.6689247,817.3361967,766.3339328,801.8595646,766.9336227,648.8107641,663.6413459,718.453113,875.0860951,929.893384,942.2163849,962.9184427,1078.541502,1257.675582,1233.304856,1236.085198,1231.867834,1281.382865,1447.222821,1545.942249
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,950.76221,923.8812783,1000.326541,890.5636811,1027.567353,680.6371437,626.9560402,679.7651939,668.972082,637.3608604,675.9238649,583.0948382,589.2039195,648.3996054,791.1064754,892.8987777,915.0912877,965.3686883,1070.954675,1191.709554,1164.717254,1147.242347,1258.924651,1222.192142,1331.200021,1407.403413
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,1028.272862,1172.757072,1112.128364,1166.334463,743.410575,667.6941418,777.5775374,908.7216322,808.2852124,660.1673277,776.3632945,1035.584462,877.626394,927.2695886,1049.317595,1362.198833,1737.611546,2144.834943,2259.269413,3094.10972,2428.260233,2953.185008,3453.221229,3191.164299,3205.457783,3147.071524
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,1175.932783,1175.149339,1181.081508,1385.866438,1541.712336,2218.784474,2470.683383,2553.549618,2759.952882,2509.139908,2164.432876,2472.197776,2395.856522,2355.725753,2246.257648,2740.249866,3386.025478,3709.076914,4674.21171,5433.706412,5148.411344,6250.6545,7227.77083,7885.061292,8030.690861,7918.0789
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,493.1307911,602.2748212,577.2891245,604.6333472,581.5867023,398.3663677,483.5462923,467.5569374,418.7347805,414.0760238,416.8883719,372.1890023,391.957281,428.789839,538.697658,609.640698,614.8613273,640.7429838,712.1200098,777.6777744,754.9928244,739.8977906,790.5680956,750.3146086,796.7645384,810.07576
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,799.611667,899.2987882,915.5546927,996.3399903,1331.125879,1073.443426,1251.809027,1256.49316,1197.175871,1242.987493,1379.073093,1229.044456,1258.557222,1363.592698,1759.256131,1970.891373,2049.615979,2316.47949,3145.653828,3698.315397,3517.386791,3393.927492,3766.111654,3497.691141,3623.22243,3641.107656
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,2274.431575,2391.302218,2255.455651,2631.99031,2884.847998,3081.86803,3338.822979,3292.773898,3483.555227,3743.130436,4104.363689,4062.322308,4104.184083,4145.586093,4245.677021,4441.41216,4700.014926,5228.025413,6024.078487,6736.167819,6546.565554,7985.951035,8963.680052,9733.396931,10461.57751,10415.45665
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,2790.986326,2963.161515,2893.244052,2820.792991,2946.616175,3100.062194,3373.309962,3640.216573,4034.948272,4392.103685,4635.608559,4989.630947,5101.649918,5347.468785,5705.486733,6232.628385,7021.166223,7841.6003,8667.555734,9822.362633,8208.608897,8699.517699,9373.21714,9586.887769,9944.637779,10171.00504
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,2577.237924,2706.975485,2280.248305,2057.220667,2071.510891,2621.135778,2790.070088,2283.564629,2305.927831,2330.81411,2559.92822,2749.463492,2841.176483,3003.288468,3201.250272,3398.620012,3786.875329,4677.709014,5193.484286,5385.740727,5494.925311,5688.666732,6092.613902,6448.155635,6789.849597,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,30190.66868,,,,,,,,,,64104.7516,,,,,,,,
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,8038.914242,9641.575273,9696.099593,11310.07192,10526.14177,11617.69278,15233.34168,15105.21006,14169.7202,15035.90525,15208.77246,14307.35353,14723.21047,15988.27504,20110.12017,23578.42935,24738.00939,26455.13237,30915.48639,34950.3513,31673.45771,30438.90019,31836.61951,28868.27382,27909.10721,27245.74462
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,3901.525437,2867.229425,3338.655158,3916.051656,4583.584499,5765.048439,6473.435452,5980.258304,6447.463539,6293.304387,5994.528277,6594.717465,8011.898074,9741.058384,11667.63212,13317.72983,15159.14115,18333.9459,22649.37934,19698.49209,19763.9638,21656.94142,19640.92866,19813.87157,19502.41733
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,17697.16351,22219.57253,23269.3818,26333.53744,25488.51952,27087.55845,31729.69976,30564.24781,27045.71913,27340.67288,26795.99113,23718.7467,23687.31689,25205.16445,30359.95215,34165.93403,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41788.04479,45936.08126,44010.93139,45600.77451,47767.00191
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,732.3063351,768.8000207,757.2259706,762.3768343,729.0950138,756.5869605,752.8997583,733.8133989,733.143646,736.5033302,754.3497353,762.8838243,779.7667866,792.9638513,822.0970501,867.68359,910.3645074,974.5642374,1060.81494,1234.013356,1279.251948,1358.4605,1472.014205,1586.780133,1683.429923,1813.596226
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,2152.86027,2344.944441,2546.783072,2701.671727,2814.669124,3018.820482,3139.224475,3323.369413,3473.648555,3676.516625,3830.229979,4819.899954,4925.629692,4837.631934,4997.16258,5329.135796,5250.352561,5522.285618,5953.548718,6463.624217,6891.460797,6937.256084,7023.353428,6768.294416,7036.548388,7251.835059
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,21799.27814,26861.79959,26960.9771,29526.1666,27553.12203,29992.22147,35351.38071,35650.72434,32835.92877,33368.15485,33440.80162,30743.55917,30751.64946,33228.69291,40458.77064,46487.51491,48816.83586,52041.00297,58501.13832,64181.99467,57895.50122,57647.66876,61304.0612,58125.36482,60361.73877,61330.91263
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,949.4036196,984.6914396,1327.450694,1510.022075,1704.850697,1871.667431,2072.68444,2258.258259,2400.193377,2551.907789,2575.563881,2802.424044,2862.16308,3008.469048,2372.629772,2421.093882,3681.065415,3836.475649,4637.239959,4996.942663,4933.94305,5441.965749,5820.3963,5967.000984,5952.329007,6147.343569
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2202.558118,2394.420608,1721.582067,1766.065919,1797.541804,1499.984092,1444.907936,1596.006859,1611.961948,1588.421338,1580.957569,1757.011974,1732.958517,1774.292021,2094.893302,2600.00652,3102.037384,3467.54474,3939.559939,4912.251941,3875.822095,4473.486446,5447.403976,5583.61616,5491.614414,5484.066806
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,396.0143523,418.259892,448.8448249,495.034631,529.189355,628.5143706,766.1104037,869.2998443,889.4902466,805.661867,876.5872723,956.0317203,1008.864911,1106.4478,1239.829694,1425.999206,1635.257494,1952.05596,2449.979433,3074.757687,3307.945656,3982.014066,4830.824638,5349.234364,5850.555806,6242.271322
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,799.5003581,899.5963669,932.4379717,1000.800278,1071.889717,1099.623063,1105.232412,1183.467065,1240.112547,1197.754828,1247.082411,1327.810054,1290.619753,1231.927724,1353.263726,1546.773945,1773.693768,1997.884693,2336.789771,2589.378674,2452.213917,2929.830906,3223.302038,3313.872559,3321.825496,3329.300179
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,2515.481655,2594.595948,2882.095275,3104.874436,3435.452298,3786.891312,4225.307318,4016.116029,3814.356903,3364.12882,3718.716033,3976.563653,3666.907012,3698.464372,4034.316878,4490.144734,4745.174965,5002.320549,5569.511909,6379.616859,6523.069215,7563.222732,8699.519424,9253.960117,9282.563093,9491.669345
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,2281.678315,2410.073632,2326.31287,2130.462391,2086.847109,1807.727853,1927.736389,1950.409189,2030.416226,1885.285139,1581.938002,1762.041827,1757.135027,2008.707901,2533.940483,3344.930959,4229.724456,5187.477195,6694.133401,8263.927315,6451.410557,7650.805152,9357.732085,9739.777777,10133.9932,9426.077553
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,8610.358771,10479.87919,10775.32117,11509.38253,10540.10284,10999.08121,12548.97387,12791.54514,12108.87411,12394.27085,12236.08662,11512.89374,11616.743,12688.13152,15425.60614,17934.20229,19044.59366,20554.44385,23947.89045,26186.48774,22954.87687,23430.87137,25844.6023,24775.91208,25654.10449,25846.09719
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,1392.2321,1491.402557,1623.989557,1690.154667,1729.373709,2028.198277,2135.634119,2159.150629,2361.59952,2300.407505,1584.463443,1451.290776,1903.741868,2183.967465,2440.469164,2708.558293,3021.942767,3350.784142,3590.711513,4274.940821,4255.555563,4657.301737,5223.377575,5702.168288,6051.611129,6345.840725
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,720.4100574,764.7606811,640.8505135,710.3624068,774.9108673,846.9980739,963.5573128,1063.433416,1211.290308,1286.793514,1351.61401,1461.018259,1402.759854,1238.926558,1147.781713,1071.323339,1196.733309,1409.177875,1681.314481,2061.612772,2349.286865,2668.035988,2816.666943,3226.131379,3264.450063,3365.707421
