"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"All Africa Press Service January 12, 1996","","","Egypt Muslim Militants Kill Christians","667 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Uganda Church Leaders Issue Warnings On General Elections","640 words"," Africa News","","",
"United Nations Press Release January 5, 1996","","","Burundi Security Council Condemns Killings","520 words"," Africa News","","",
"Africa Policy Information Center January 10, 1996","","","United States and Africa Outlook for U.S. Policy 1996","1800 words"," Africa News","","",
"Africa News Service January 4, 1996","","","United States and Africa U.S. Committee Protests Arrest of Nigerian Journalist","614 words"," Africa News","","",
"Africa News Service January 4, 1996","","","United States and Africa U.S. Committee Protests Arrest of Ivorian Journalist","507 words"," Africa News","","",
"Africa News Service January 12, 1996","","","United States and Africa U.S. Committee Protests Conviction of Ivorian Journalists","334 words"," Africa News","","",
"Tunisian Press Service January 12, 1996","","","Tunisia Stock and Bond Trading Up in 1995","147 words"," Africa News","","",
"Tunisian Press Service January 12, 1996","","","Africa-at Large Arab Interior Ministers Meet in Tunis","187 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Kenya Water Pumps Delivered to Arid Areas","334 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Uganda Anglican Head Reshuffles Leadership","347 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Kenya Government Agrees to Register Muslim College","854 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Ghana Opposition Says President Must Resign","987 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Sao Tome and Principe President Selects Unity Cabinet","480 words"," Africa News","","",
"Post of Zambia January 12, 1996 by Reuben Tonga","","","Africa-at-Large Zambia Off to Slow Start in Davis Cup","347 words"," Africa News","","",
"Post of Zambia January 12, 1996 by Mwanachonga H Chipewo (Column)","","","Business Market Economy Has Made Zambians More Productive","574 words"," Africa News","","",
"Post of Zambia January 12, 1996 by Joe Kaunda","","","Arts and Culture Zambians Urged to Take An Interest in Art","374 words"," Africa News","","",
"Post of Zambia January 12, 1996 by Anthony Mukwita","","","Zambia Government Forecasts Six Percent Growth","520 words"," Africa News","","",
"Post of Zambia January 11, 1996 by Masauso Lungu","","","Business KLM Launches Direct Flights to Zambia","254 words"," Africa News","","",
"Post of Zambia January 11, 1996 by Staff Reporter","","","Zambia Government Extends Voter Registration","480 words"," Africa News","","",
"","","","Business","627 words"," Africa News","","",
"Post of Zambia January 10, 1996 by Reuben Phiri","","","Zambia Pro-Democracy Group Calls for Independent Electoral Commission","347 words"," Africa News","","",
"","","","Zambia U.S. Lawyers Advise on Constitution(by Post of Zambia January 9, 1996 by Masautso Phiri","294 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Julian Drew","","","South Africa Cape Town Presses Olympic Bid","1827 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Jon Swift","","","Africa-at-Large Cricket: Winning Team Has Some Problems to Solve","1507 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Lungile Madywabe","","","Africa-at-Large Soccer: Cameroon Lion Meet Home Team in Cup Openers","1547 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Aspasia Karras","","","South Africa Expensive Oil-from-Gas Plant Presents Conundrum","1254 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Simon Segal","","","South Africa Rain Water Economic Growth","534 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Lynda Loxton","","","Business BP Chooses First Black Exec to Lead Africa Division","1120 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Vuyo Mvoko","","","South Africa Taxpayers to Pay Ex-Generals' Legal Costs","507 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Jacquie Golding-Duffy","","","Business South African Mineworkers May Not Support Trade Union Strike","414 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Marion Edmunds","","","South Africa Mandela's Children Fund Corners Donations","1280 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Eddie Koch and Mehlo Mvelase","","","South Africa Police Accused Over Christmas Day Massacre","974 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Peta Thornycroft","","","South Africa Man Who Exposed Police Misdeeds Regrets Six-Year-Old Confession","854 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Gaye Davis","","","South Africa Parliament Prepares Intelligence Probe","574 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Jacquie Golding-Duffy","","","South Africa Task Force Looks at Government Info and Media Ownership","454 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 12, 1996 by Lungile Madywabe","","","Africa-at-Large World Football Stars on South African Stage","934 words"," Africa News","","",
"Washington Office on Africa January 13, 1996","","","United States and Africa Congressional Resolution on Kenya","1454 words"," Africa News","","",
"Africa News Service January 15, 1996","","","Mozambique U.S. Ambassador Defends Refusal of Interviews to American Reporter","2174 words"," Africa News","","",
"Africa News Service January 15, 1996","","","Mozambique Southern Africa Media Group Criticizes U.S. Embassy","654 words"," Africa News","","",
"Africa News Service January 15, 1996","","","United States and Africa U.S. Ambassador Defends Refusal of Interviews to American Reporter","2174 words"," Africa News","","",
"Africa News Service January 15, 1996","","","United States and Africa Southern Africa Media Group Criticizes U.S.  Embassy","654 words"," Africa News","","",
"The Post of Zambia (Lusaka) January 17, 1996 by Anthony Mukwita","","","Zambia Where Is Tax Money Going? Opposition Party Asks","587 words"," Africa News","","",
"","","","SOURCE&DATE Zambia Only 80,000 Register As Voters In Lusaka The Post of Zambia (Lusaka) January 18, 1996 (19960118) by Reuben Phiri","294 words"," Africa News","","",
"The Post of Zambia (Lusaka) January 18, 1996 by Anthony Mukwita","","","Zambia Three Quarters of Budget Donor Funded","334 words"," Africa News","","",
"The Post of Zambia (Lusaka) January 19, 1996 by Goodson Machona","","","Zambia Soccer: Now Team Gets Serious","520 words"," Africa News","","",
"The Post of Zambia (Lusaka) January 19, 1996 by Goodson Machona","","","Zambia 'Apathy' Worries SA Soccer Boss","414 words"," Africa News","","",
"The Post of Zambia (Lusaka) January 22, 1996 by Masauso Lungu","","","Zambia YWCA Funds Small Scale Entrepreneurs","227 words"," Africa News","","",
"The Post of Zambia (Lusaka) January 22, 1996 by Fred M'membe (Column)","","","Zambia President's Actions Sow Seeds of Anarchy","1414 words"," Africa News","","",
"The Post of Zambia (Lusaka) January 22, 1996 by Goodson Machona","","","Zambia Africa Cup Games Drug Free","640 words"," Africa News","","",
"All Africa Press Service January 19, 1996 by Crespo Sebunya","","","Uganda NGOs Call For Donor Pressure","2240 words"," Africa News","","",
"All Africa Press Service January 19, 1996 by APS Correspondent","","","Angola Combatants Agree On Troop Encampment","1600 words"," Africa News","","",
"All Africa Press Service January 19, 1996 by APS Correspondent","","","Zambia Society Campaigns For Widow's Rights","2000 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Sierra Leone Ousted Leader Flown To Guinea","427 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Chad Peace Talks Collapse","734 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Kenya Methodist Church Consecrates First Woman Bishop","680 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Zimbabwe Catholic Church Refuses To Register Its Own","907 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Ethiopia Rebels Broadcast From Former Soviet Union","467 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Uganda Commission To Probe Church Diocese","347 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Burundi Tutsi Extremists Bring Capital To A Standstill","534 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Ghana Religious Leaders Intervene in Presidential Row","640 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Uganda Cardinal Attacks Tax System","334 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Kenya Milk Cooperative In Dire Straits","920 words"," Africa News","","",
"All Africa Press Service January 19, 1996","","","Benin Voodoo Receives Official Nod","827 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Leon Perlman","","","Business Satellite Group Plans Pan-African Links","707 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Rowan Callaghan","","","Business South Africa Faces Public Sector Strikes in 1996","387 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996","","","Business South African Currency on the Rise","374 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Simon Segal","","","Business South Africa Reconsiders Exchange Controls","827 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996","","","Arts and Culture Pavarotti Against All Odds","587 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Coenraad Visser","","","Arts and Culture The Soprano Who Stole The Show","414 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Ricardo Dunn","","","Arts and Culture Madonna Of The Margins","1254 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Eddie Koch","","","Mozambique US Millionaire Plans Indian Ocean Dreampark","1774 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Eddie Koch and Carlos Cardoso","","","Mozambique Row over IMF Plans","627 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Mark Gevisser","","","South Africa Soccer: This Fish Is Poetry In Motion","2374 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Gaye Davis","","","South Africa De Klerk Aims for Nat Party Revival","654 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Gaye Davis","","","South Africa Intelligence To Investigate Police Spy Scandal","654 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Philippa Garson","","","South Africa Rector Urges Universities To Share Apartheid's Backlogs","760 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Philippa Garson and Vusi Mona","","","South Africa Education In Crisis: Teachers Face Cut-backs","987 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Nicole Fritz and Vuyo Mvoko","","","South Africa Rugby: Luyt Dynasty Expands Its Turf","374 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Jacquie Golding-Duffy","","","South Africa News Viewers Vote With Their Remotes","520 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Jacquie Golding-Duffy and Justin Pearce","","","South Africa Is TV Relaunching ... Or Re-sinking?","1614 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Mail & Guardian reporter","","","South Africa De Kock Trial To Focus On Mlangeni Assassination","414 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Eddie Koch and Rehana Rossouw","","","South Africa Report takes WWF To 'Tusk'","907 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Vuyo Mvoko","","","South Africa Moseneke To Lead PAC?","467 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 19, 1996 by Marion Edmunds","","","South Africa Foreign Trip Could Clear Constitutional Logjam","627 words"," Africa News","","",
"The Monitor (Kampala) January 5, 1996 by Gerald Owachi","","","Uganda UK Report Predicts Museveni Win In '96 Polls","840 words"," Africa News","","",
"U.S. Africa Chamber of Commerce January 15, 1996","","","United States and Africa Investment Myths About Africa Dispelled in TV Program","467 words"," Africa News","","",
"Africa News Service January 16, 1996","","","Nigeria Press Group Condemns Attacks on Press","907 words"," Africa News","","",
"Africa News Service January 15, 1996","","","Liberia Harassment of Journalists Intensifies","600 words"," Africa News","","",
"","","","Gabonese Media Urged To Campaign Against Ebola","955 words"," Africa News","","",
"","","","Budget Cuts Bite Zimbabwean HIV Carriers","400 words"," Africa News","","",
"Mildred Mulenga PANA Staff Correspondent","","","Netherlands Assits Zambia in Drug Importation","360 words"," Africa News","","",
"","","","Vaccinations Reduces Yellow Fever Cases in Liberia","334 words"," Africa News","","",
"","","","Zimbabwean AIDS-Orphaned Children Turn to Begging","494 words"," Africa News","","",
"","","","Lymphatic Filariasis Rampant in Africa","654 words"," Africa News","","",
"","","","Montreal Hosts Biological Diversity Secretariat","640 words"," Africa News","","",
"","","","Road Construction Through Senegalese Park Endorsed","360 words"," Africa News","","",
"Terence Sesay PANA Correspondent","","","Prolonged Conflict Threatens Liberia With Deforestation","640 words"," Africa News","","",
"","","","Unicef Invests in the Environment","200 words"," Africa News","","",
"Musengwa Kayaya PANA Staff Correspondent","","","Zambia Combats Water Hyacinth","667 words"," Africa News","","",
"","","","Zimbabwe's Lake Mutirikwi is Now 30 Percent Full","187 words"," Africa News","","",
"Moses Draku PANA Correspondent","","","Uganda Reserves Reach Record High","427 words"," Africa News","","",
"","","","Unesco Conference on Tolerance Opens Wednesday","294 words"," Africa News","","",
"","","","South Africa's Transit Charges","400 words"," Africa News","","",
"","","","Winnie Mandela To Visit Nigeria","347 words"," Africa News","","",
"","","","Monteiro Re-elected Cape Verdian President","267 words"," Africa News","","",
"Felix Njoku PANA Staff Correspondent","","","New Zaire Slumps Again, CFA Gains","214 words"," Africa News","","",
"Mildred Mulenga PANA Staff Correspondent","","","Times of Zambia Managing Editor Sacked","387 words"," Africa News","","",
"Mildred Mulenga PANA Staff Correspondent","","","African Journalists Voice Concern Over Media and Democracy","507 words"," Africa News","","",
"Randy Zormelo PANA Staff Correspondent","","","Cameroon and Nigerian Leaders To Meet Over Bakassi","280 words"," Africa News","","",
"","","","Museveni Vows to Crush Rebels","427 words"," Africa News","","",
"","","","Firm Supports Nigeria's Hosting Of African Badminton Championship","147 words"," Africa News","","",
"Paul Ejime PANA Staff Correspondent","","","No Clear Leader In Nigerian Premier League","280 words"," Africa News","","",
"Mildred Mulenga PANA Staff Correspondent","","","Lota Named Zambia's Footballer Of The Year","440 words"," Africa News","","",
"","","","Okwawu Sink Olympics To Stretch Lead","267 words"," Africa News","","",
"","","","Enyimba Takes Early Lead In Nigerian Premier League","227 words"," Africa News","","",
"","","","Cameroon's National League Kicks off At last","294 words"," Africa News","","",
"","","","Okwawu On Top Ghana's Soccer League","254 words"," Africa News","","",
"Paul Ejime PANA Staff Correspondent","","","Nigeria Prepares For Olympic Soccer Qualifier","254 words"," Africa News","","",
"Randy Zormelo PANA Staff Correspondent","","","Budget Dampens Money Market","400 words"," Africa News","","",
"Felix Njoku PANA Staff Correspondent","","","New Zaire Slumps Again, CFA Gains","227 words"," Africa News","","",
"","","","South African Exports To Zimbabwe On the Rise","320 words"," Africa News","","",
"","","","World Trade Achieved Record Growth in 1994","307 words"," Africa News","","",
"","","","Wheat Market To Be Liberalised","600 words"," Africa News","","",
"","","","Horticultural Exports On The Rise","334 words"," Africa News","","",
"Moses Draku PANA Correspondent","","","Foreign Reserves Reach Record High","414 words"," Africa News","","",
"Paul Ejime PANA Staff Correspondent","","","Mixed Reactions On Nigeria's 1996 Budget","747 words"," Africa News","","",
"Musengwa Kayaya PANA Staff Correspondent","","","IMF Team in Zambia for Talks","374 words"," Africa News","","",
"American Committee on Africa (New York) February 22, 1996","","","United States and Africa New President For The American Committee On Africa","427 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Mark Lamport-Stokes","","","South Africa Cricket: Team Tactics to Beat Runs","1427 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Ricardo Dunn","","","Business Cola Wars Light Up Johannesburg","560 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Lynda Loxton","","","South Africa Watchdog Wants Multi-Year Budget","387 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Madeleine Wackernagel","","","South Africa World Bank Bids Its Time","707 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Karen Harverson","","","Africa-at-Large Planned Corridor to Link Mozambique and South Africa","694 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Lynda Loxton","","","South Africa Listening To The Voices Of The Poor","614 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Simon Segal","","","Business The Double-Edged Sword Of Privatisation","894 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Madeleine Wackernagel","","","Business South African Reserve Bank Ponders Rand's Decline","387 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Stefaans Brummer","","","Algeria and South Africa Nzo Mollifies Algerians","320 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by David Beresford","","","Malawi Mauled By The 'Lion of Malawi'","1454 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Rehana Rossouw","","","South Africa Farmworkers Row Threatens Cape Elections","214 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Rehanna Rossouw","","","South Africa A Rotten Life On The 'Fruit Route'","840 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Eddie Koch","","","South Africa And Now For The IFP's Gun-runners","694 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Eddie Koch","","","South Africa The Judge And The AG: Were They Duped?","720 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Eddie Koch","","","South Africa De Kock: How Murder Became Routine","1987 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Stefaans Brummer","","","South Africa Who's Making The Buggers Look Silly?","907 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Eddie Koch","","","Science, Medicine and Technology R20m Bid To Save Kruger's Elephants","867 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Justin Pearce","","","South Africa Kicking Up A Stink In 'A Skunk Of A Town'","1294 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by","","","South Africa Top Secret No More","454 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Louise Flanagan","","","South Africa Some Ghosts Just Refuse To Die","614 words"," Africa News","","",
"Mail and Guardian (Johannesburg) February 23, 1996 by Louise Flanagan","","","South Africa How Military Intelligence Tried To Recruit Modise","1120 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 22, 1996 by George Jambwa, Sheikh Chifuwe and Kunda Mwila","","","Zambia Students Union Issues Ultimatum To President","1067 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 22, 1996 by Goodson Machona","","","Zambia Speaker Stops Nikuv Debate","334 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 22, 1996 by Masauso Lungu","","","Zambia Few Register To Vote","560 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 22, 1996 by Bright Mwape and Masauso Lungu","","","Zambia Sacked Editor: I Am A Victim of State House","587 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 22,1996 by Goodson Machona","","","Zambia Finance Minister Roasted Over Customs Bills","414 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 22, 1996 by Staff Reporters","","","Zambia Party Distributes Campaign Cars","427 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 23, 1996 by Sibalwa Mwaanga (Column)","","","Zambia Voters' Apathy: Sign of Loss in Faith in Leaders","760 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 23, 1996 by Staff Reporters","","","Zambia Editors & Columnist Await Jail Sentence","360 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 23, 1996 by Jeff Kapembwa","","","Arts, Culture and Entertainment Rikki Shuts Down Recording Studios","534 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 23, 1996 by Staff Reporters","","","Africa-at-Large Soccer: FIFA Rates Team The Best In Africa","227 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 23, 1996 by Jeff Kapembwa","","","Zambia Veteran Actor Dies","427 words"," Africa News","","",
"Sudan Democratic Gazette (London) February 23, 1996","","","Sudan Party Adopts plan To Overthrow Regime","1854 words"," Africa News","","",
"Sudan Democratic Gazette(London) February 23, 1996","","","Sudan and Ethiopia UN Asks Regime To Respond To Charges","1187 words"," Africa News","","",
"AFL-CIO Executive Council February 21, 1996","","","United States and Africa Labor Leaders Endorse Embargo Against Nigeria","387 words"," Africa News","","",
"World Health Organization February 23, 1996","","","Science, Medicine and Technology Rapid Government Response Stems Ebola Outbreak in Gabon","614 words"," Africa News","","",
"Tunisia Press Agency February 24 1996","","","Business Tunis Stock Exchange to Introduce Computer Trading","227 words"," Africa News","","",
"Tunisia Press Agency February 24 1996","","","Tunisia Great Lakes Summit Announced","93 words"," Africa News","","",
"Africa Policy Information Center February 24, 1996","","","United States and Africa New Clinton Administration Trade Policy (Excerpts)","2547 words"," Africa News","","",
"US Department of Commerce (Washington) February 7, 1996","","","United States and Africa Commerce Secretary Leads African Mission","894 words"," Africa News","","",
"The Monitor (Kampala) February 7, 1996","","","Uganda Beware: the rains are playing tricks (Editorial)","494 words"," Africa News","","",
"The Monitor (Kampala) February 7, 1996 by Hassan Badru Zziwa","","","Africa-at-Large Uganda's Cranes back into Africa Nations Cup","587 words"," Africa News","","",
"Media Institute of Southern Africa February 16, 1996","","","Zambia Ban on Post Extends to Internet","667 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 19, 1996 by Jeff Kepembwa","","","Business Foreign Companies Eye Zambian Complex","440 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 19, 1996 by Goodson Machona","","","Zambia Sports Experts Arrive","174 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 19, 1996 by Chibembe Nyalungwe (Column)","","","Zambia Political Parties Now Just Toothless Bulldogs","840 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 19, 1996 by Joe Kaunda","","","Zambia Bank Explains Kwacha Decline","427 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 19, 1996 by Reuben Phiri","","","Zambia Journalists Urged To Unite","600 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 19, 1996 by Mabeni Sikalyabwanda","","","Business and Finance Bank Governor: Zambian Economy On Right Track","347 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 21, 1996 by Goodson Machone","","","Zambia Speaker Lays Charges Against Post","560 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 19, 1996 by Mabeni Sikalyabwanda","","","Zambia Livingstone Baboons On Rampage","334 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 21, 1996 by Reuben Tonga","","","Zambia Soccer Star Turns Agent","427 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 21, 1996 by Bright Mwape and Masautso Phiri","","","Zambia President Accused Of Blackmail","840 words"," Africa News","","",
"World Health Organization February 19, 1996","","","Science, Medicine and Technology Ebola Haemorrhagic Fever Diagnosis Confirmed in Gabon","974 words"," Africa News","","",
"American Committee on Africa February 21, 1996","","","United States and Africa Lobby Group Calls for Landmines Ban","640 words"," Africa News","","",
"Committee to Protect Journalists February 21, 1996","","","United States and Africa American Media Group Condemns Attack on Nigerian Publisher","400 words"," Africa News","","",
"Committee to Protect Journalists February 21, 1996","","","United States and Africa American Media Group Protests Ghanaian Arrests","640 words"," Africa News","","",
"The World Bank February 15, 1996","","","Africa-at-Large World Bank Supports African Poverty Reduction Network","400 words"," Africa News","","",
"The World Bank February 20, 1996","","","Africa-at-Large Ministers And Bank President Agree On Capacity Building","680 words"," Africa News","","",
"Committee to Protect Journalists February 14, 1996","","","United States and Africa Reporters' Group Protests Zambian Editors' Arrests","640 words"," Africa News","","",
"Africa News Service February 14, 1996","","","South Africa Department of Public Works Announces RDP Initiative","920 words"," Africa News","","",
"","","","South Africa","960 words"," Africa News","","",
"Post of Zambia February 15, 1996 by Goodson Machona","","","Zambia Government Unveils New Tourism Policy","467 words"," Africa News","","",
"The Post of Zambia (Lusaka) February 15, 1996 by a Correspondent","","","Africa-at-Large Prominent Group Lobbies For Debt Relief","520 words"," Africa News","","",
