"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Post of Zambia (Lusaka) January 3, 1996 by Goodson Machona","","","Zambia State House Snubs Group","774 words"," Africa News","","",
"Post of Zambia (Lusaka) January 3, 1996","","","Zambia Major Parties Meet","254 words"," Africa News","","",
"Post of Zambia (Lusaka) January 3, 1996 by Masautso Phiri","","","Zambia Controversy Slows Voter Registration","760 words"," Africa News","","",
"Post of Zambia January 5, 1996 by Sipo Kapumba","","","Business and Finance Zambia Stock Trading Slowed by Small Number Of Firms","507 words"," Africa News","","",
"Post of Zambia January 5, 1996 by Masautso Lungu","","","Science, Medicine and Technology Zambians Used 7M Condoms In 1995","400 words"," Africa News","","",
"Post of Zambia (Lusaka) January 5, 1996 by Nkandu Kapepula","","","Science, Medicine and Technology Zambia Has No Policy On Information Technology","880 words"," Africa News","","",
"Post of Zambia (Lusaka) January 5, 1996 by Reuben Phiri","","","Zambia Membe Joins Presidential Race","307 words"," Africa News","","",
"Post of Zambia (Lusaka) January 5, 1996 by Goodson Machona","","","Zambia How Has Entertainment Scene Been In 1995?","1214 words"," Africa News","","",
"Post of Zambia (Lusaka) January 5, 1996 by Reuben Tonga","","","Africa-at-Large Zambia Has No New Kit For Africa Cup Games","320 words"," Africa News","","",
"Post of Zambia (Lusaka) January 5, 1996 by Staff Reporters","","","Africa-at-Large Soccer: Nigeria Given A Chance","347 words"," Africa News","","",
"Post of Zambia (Lusaka) January 5, 1996 by Lucy Sichone","","","Zambia Taxpayers' Money Being Used To Deny Truths","2000 words"," Africa News","","",
"Sudan Democratic Gazette (London) January 5, 1996","","","Sudan Khartoum Attempts To Strengthen Its Defences At The War Front","2867 words"," Africa News","","",
"","","","SOURCE&DATE Arts and Culture Cry, The Beloved Country Tour Africa News Service January 5, 1996 (19960105)","534 words"," Africa News","","",
"Museum for African Art (New York) January 05, 1996","","","Africa-at-Large Luba Art Exhibit Opens","307 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 5, 1996 by Julian Drew","","","Africa-at-Large Boxing: Take Me To Atlanta","1120 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 5, 1996 by Lungile Madywabe","","","Africa-at-Large Soccer: All The Nations For The Cup","1200 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 5, 1996 by Jon Swift","","","South Africa Cricket: Breathing New Life Into An Old Game","1800 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 5, 1996 by Vuyo Mvoko","","","Business and Finance Not Nailed By Success","1334 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 5, 1996 by Carol Brown","","","Arts and Culture Of Patrons And Peers","907 words"," Africa News","","",
"Mail and Guardian (Johannesburg) January 5, 1996 by Itumeleng oa Mahabane","","","Arts and Culture Mother Of All Jazz Festivals","734 words"," Africa News","","",
"All Africa Press Service January 12, 1996 by Dingaan Mpondah","","","Africa-at-Large Clergy Offers Solace To Pregnant Teenagers","1414 words"," Africa News","","",
"All Africa Press Service January 12, 1996 by Sam Gonza","","","Africa-at-Large Black And Beautiful But Skin Bleaching Persists","1054 words"," Africa News","","",
"All Africa Press Service January 12, 1996 by Kafui Ameh","","","Africa-at-Large Finances Threaten Africa's Environmental Programmes","2080 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Kenya President Bans Scout Family Life Manual","640 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Gambia Junta Leader Announces Elections For June","747 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Malawi State Appeals Former President's Acquittal","1067 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Burundi Despair Growing As Country Slides Into Anarchy","960 words"," Africa News","","",
"All Africa Press Service January 12, 1996","","","Mauritania New Government Installed After Premier's Sacking","560 words"," Africa News","","",
