"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Media Institute of Southern Africa (MISA)","","","Malawi; Former Minister Arrested For Plot To Bomb State Radio","205 words"," Africa News","","",
"The Progress (Freetown)","","","Sierra Leone;Police Chief Docked For Larceny","105 words"," Africa News","","",
"Ethiopian News Agency","","","Business and Finance;14 Investors Launch Agricultural Activities In Ethiopia","124 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Ambassador Commends Ethiopia's Democratization Effort","362 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Untimely Rains May Worsen Food Shortage: DPPC","228 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;President Confers With Chadian President, Chinese Delegation","495 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Zambia;Opposition Leader Arrested","225 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Gains At Ghana Stock Exchange","280 words"," Africa News","","",
"Newtown Kanhema, PANA Correspondent, Panafrican News Agency","","","Rwanda;Animosity Prevails As Rwanda Seeks Reconciliation","822 words"," Africa News","","",
"Newton Kanhema, PANA Correspondent, Panafrican News Agency","","","Rwanda;The Pain Of Visiting A Rwandan Genocide Site","813 words"," Africa News","","",
"Patrick Ngugi And Kennedy Lumwamu, The Nation (Nairobi)","","","Kenya;Farmers Seal Off Town Again","371 words"," Africa News","","",
"Nation Team, The Nation (Nairobi)","","","Kenya;Floods Kill 4 In Mandera","516 words"," Africa News","","",
"Caxton Apollo, The Nation (Nairobi)","","","Sports - General;Lionesses Meet Railways","291 words"," Africa News","","",
"Nation Correspondents, The Nation (Nairobi)","","","Kenya;8 Killed As Border Fighting Escalates","730 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;What They'd Do With Presidency","803 words"," Africa News","","",
"Western Sahara Referendum Support Association","","","Western Sahara;Sahara Weekly News Update","1145 words"," Africa News","","",
