"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"The Namibian (Windhoek)","","","Namibia;NMIC blasts Swapo's 'bulldozing'","549 words"," Africa News","","",
"National Party (South Africa)","","","South Africa; Pik Botha On Amnesty","294 words"," Africa News","","",
"Chander Mehra, New Vision (Kampala)","","","Business and Finance;Investors leaving due to increasing insecurity","1040 words"," Africa News","","",
"Paul Busharizi, New Vision (Kampala)","","","Business and Finance;RE-INSURANCE MEET LAUDED","320 words"," Africa News","","",
"Yunusu Abbey, New Vision (Kampala)","","","Business and Finance;ITALIANS TIPPED FOR CRESTED TENDER","294 words"," Africa News","","",
"Alfred Wasike, New Vision (Kampala)","","","Business and Finance;Uganda Companies In Waiting For Pre-Shipment Contract","974 words"," Africa News","","",
"Ofwono Opondo and John Kakande, New Vision (Kampala)","","","Uganda;US TRAINS FOR PEACE - MBABAZI","414 words"," Africa News","","",
"Lilliane Barenzi, New Vision (Kampala)","","","Science and Health;POLIO VACCINE NOT CONTAMINATED - WHO","320 words"," Africa News","","",
"Anne Mugisa and Jennifer Bakyawa, New Vision (Kampala)","","","Uganda;MULTIPARTYISTS ATTACK ENVOY","667 words"," Africa News","","",
"Henry Tumwine, New Vision (Kampala)","","","Uganda;KENYA RELEASES UGANDANS","240 words"," Africa News","","",
"John Kakande, New Vision (Kampala)","","","Uganda;MUK FREE ON TENTS - BABU","214 words"," Africa News","","",
"Edson Bagada, New Vision (Kampala)","","","Uganda;GRENADE DEATH TOLL UP TO 8","280 words"," Africa News","","",
"Moses Serwanga and John Nzinjah, New Vision (Kampala)","","","Uganda;ADF OFFERED AMNESTY","614 words"," Africa News","","",
"Joseph Weddi, New Vision (Kampala)","","","Uganda;ANOTHER GRENADE ATTACK IN CITY","160 words"," Africa News","","",
"Ofwono-Opondo and John Kakande, New Vision (Kampala)","","","Uganda;PARLIAMENT STOPS PREMIER'S DEFENCE","1040 words"," Africa News","","",
"Chander Mehra, New Vision (Kampala)","","","Business and Finance;Investors leaving due to increasing insecurity","1040 words"," Africa News","","",
"Paul Busharizi, New Vision (Kampala)","","","Business and Finance;RE-INSURANCE MEET LAUDED","320 words"," Africa News","","",
"Yunusu Abbey, New Vision (Kampala)","","","Business and Finance;ITALIANS TIPPED FOR CRESTED TENDER","294 words"," Africa News","","",
"Alfred Wasike, New Vision (Kampala)","","","Business and Finance;Uganda Companies In Waiting For Pre-Shipment Contract","974 words"," Africa News","","",
"Ofwono Opondo and John Kakande, New Vision (Kampala)","","","Uganda;US TRAINS FOR PEACE - MBABAZI","414 words"," Africa News","","",
"Lilliane Barenzi, New Vision (Kampala)","","","Science and Health;POLIO VACCINE NOT CONTAMINATED - WHO","320 words"," Africa News","","",
"Anne Mugisa and Jennifer Bakyawa, New Vision (Kampala)","","","Uganda;MULTIPARTYISTS ATTACK ENVOY","667 words"," Africa News","","",
"Henry Tumwine, New Vision (Kampala)","","","Uganda;KENYA RELEASES UGANDANS","240 words"," Africa News","","",
"John Kakande, New Vision (Kampala)","","","Uganda;MUK FREE ON TENTS - BABU","214 words"," Africa News","","",
"Edson Bagada, New Vision (Kampala)","","","Uganda;GRENADE DEATH TOLL UP TO 8","280 words"," Africa News","","",
"Moses Serwanga and John Nzinjah, New Vision (Kampala)","","","Uganda;ADF OFFERED AMNESTY","614 words"," Africa News","","",
"Joseph Weddi, New Vision (Kampala)","","","Uganda;ANOTHER GRENADE ATTACK IN CITY","160 words"," Africa News","","",
"Ofwono-Opondo and John Kakande, New Vision (Kampala)","","","Uganda;PARLIAMENT STOPS PREMIER'S DEFENCE","1040 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Business and Finance;ZNCC and CZI continue to explore merger possibilities","467 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Budget and reshuffle fail to address expenditure (Editorial)","1187 words"," Africa News","","",
"Eric Bloch (Column), Zimbabwe Independent (Harare)","","","Business and Finance;Zimbabwe: Little of substance in industrial policy","1520 words"," Africa News","","",
"Charles Gurney (Column), Zimbabwe Independent (Harare)","","","Business and Finance;Only RBZ can mop up excess money","1654 words"," Africa News","","",
