"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Zimbabwe Independent(Harare)","","","Business and Finance;CBZ issue price expected at $1,60","374 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Banana trial deferred","494 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;CIO allocated $570m","520 words"," Africa News","","",
"Zimbabwe Independent(Harare)","","","Business and Finance;Zimbabwe urged to define privatisation framework","587 words"," Africa News","","",
"Gerald Imray, Zimbabwe Independent (Harare)","","","Zimbabwe;ZNCC says it was not told about smart summit","627 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;CIO accused of interfering with email","720 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;NRZ annual deficit falls below $100m","774 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Absenteeism costs Zim up to $40m","867 words"," Africa News","","",
"Africa-Europe Dialogue on Education for Change","","","Africa-at-Large; Dialgue on Education at Zimbabwe Book Fair","427 words"," Africa News","","",
"NATION Team, The Nation (Nairobi)","","","Kenya;NCEC to government: You have 5 days","1360 words"," Africa News","","",
"NATION Team, The Nation (Nairobi)","","","Kenya;Ex-police boss 'died of heart failure'","734 words"," Africa News","","",
"Charles Omondi, The Nation (Nairobi)","","","Sports - General;Kenyan team arrives in Athens","534 words"," Africa News","","",
"NATION Team, The Nation (Nairobi)","","","Kenya;Boycott of Moi firms urged","454 words"," Africa News","","",
"Caleb Atemi, Washington And Eman Omari, Nairobi, The Nation (Nairobi)","","","Kenya;U.S. senate assured over reform plans","894 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Sports - General;Sprint king gets a head start","2507 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Sports - General;A triumph for youth, a victory for experience","320 words"," Africa News","","",
"Andrew Muchineripi, Mail and Guardian (Johannesburg)","","","Sports - Soccer;Take your seats for feast of fixtures","1134 words"," Africa News","","",
"Steve Morris, Mail and Guardian (Johannesburg)","","","Sports - General;RUGBY: It's never too Luyt for a team to change","1227 words"," Africa News","","",
"Julian Drew, Mail and Guardian (Johannesburg)","","","Sports - General;Who can do what at world champs?","2027 words"," Africa News","","",
"Robert Kirby, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;IBA slapstick is something to guffaw about","1067 words"," Africa News","","",
"Hazel Friedman, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Radio: Kaya kicks butt","360 words"," Africa News","","",
"Andrew Worsdale, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;DOWN THE TUBE: Plumbing new depths in froth","814 words"," Africa News","","",
"Arthur Goldstuck, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;WEBFEET: Synergy and Y-files","774 words"," Africa News","","",
"Amelia Argent, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Morning TV Show Off the Air","307 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;War of independents","854 words"," Africa News","","",
"Suzy Bell, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Designing street-wise talent","587 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Black Christ recovered","1320 words"," Africa News","","",
"Leon de Kock, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;NEW POETRY","720 words"," Africa News","","",
"Leon de Kock, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Books: A different Cronin","974 words"," Africa News","","",
"Madeleine Wackernagel, Mail and Guardian (Johannesburg)","","","Business and Finance;Old guard bank a 'model of transformation'","1080 words"," Africa News","","",
"Lynda Loxton, Mail and Guardian (Johannesburg)","","","Business and Finance;Where investors look abroad","534 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Grahamstown a stage for entrepreneurs","987 words"," Africa News","","",
"Lynda Loxton, Mail and Guardian (Johannesburg)","","","Business and Finance;Steady progress in affirmative management","960 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Corruption leaps in SA","1214 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;FW's cold calculation (Commentary)","1627 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;The message in a bottle (Editorial)","587 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;African renaissance: Teaching the past to find the future;(Commentary)","2294 words"," Africa News","","",
"Ros Coward, Mail and Guardian (Johannesburg)","","","South Africa;Sign of the crimes against women","1480 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Nigeria;Summit must seal Nigeria's fate (Commentary)","1227 words"," Africa News","","",
"Francis Murape, Mail and Guardian (Johannesburg)","","","Zimbabwe;Nkomo's health a strain on Zimbabwean politics","1000 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;No peace for the people of Tsolo","1000 words"," Africa News","","",
"Angella Johnson (Column), Mail and Guardian (Johannesburg)","","","Zimbabwe;Ian Smith through the looking glass","2254 words"," Africa News","","",
"Ann Eveleth, Mail and Guardian (Johannesburg)","","","South Africa;Vaalputs boss was 'pushed from his post'","747 words"," Africa News","","",
"Chris Gordon, Mail and Guardian (Johannesburg)","","","Angola;Savimbi and Dos Santos warn of new Angolan war","680 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Dream of a new education order falters","1200 words"," Africa News","","",
"Mukoni T Ratshitanga, Mail and Guardian (Johannesburg)","","","South Africa;Concern over campus corruption","974 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Bomb blast missed NEC by just a day","1507 words"," Africa News","","",
"Chris McGreal, Mail and Guardian (Johannesburg)","","","Rwanda;New governor on Rwandan death list","840 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Mixed views on law internship","1254 words"," Africa News","","",
"Ann Eveleth, Mail and Guardian (Johannesburg)","","","South Africa;'Incompetent' truth probe investigator resigns","774 words"," Africa News","","",
"Rehana Rossouw and Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;Asmal names mystery arms client","1267 words"," Africa News","","",
"Peta Thornycroft, Mail and Guardian (Johannesburg)","","","South Africa;Goniwe's killer works for Denel","1067 words"," Africa News","","",
"Mukoni T Ratshitanga, Mail and Guardian (Johannesburg)","","","South Africa;Visiting SA an alien experience","1027 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;New black guns blast into arms world","1334 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Rape case is just tip of the iceberg","1280 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;A tale of betrayal and deceit","1214 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;'Charlie Landman told me to lie'","1307 words"," Africa News","","",
"Agnes Banda, Times of Zambia (Lusaka)","","","Zambia;Revisiting 'death trap' Lusaka elevators","1454 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Zambia;ZCCM needs K500m squatters fund","494 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Minister counsels labour chiefs","427 words"," Africa News","","",
"Benjamin Mwanza, Times of Zambia (Lusaka)","","","Zambia;Rail strike ends","720 words"," Africa News","","",
"Yuyo Kambikambi, Times of Zambia (Lusaka)","","","Sports - Soccer;Mozambican soccer team jets in","454 words"," Africa News","","",
"Sports Reporter, Times of Zambia (Lusaka)","","","Sports - Soccer;Namibia warns Africa","240 words"," Africa News","","",
"Davey Sakala, Times of Zambia (Lusaka)","","","Sports - General;Singh drops out of Harare rally","534 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;British Council at Lusaka commercial show","400 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;'Security key to success' for hotel","427 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;MUZ prods ZCCM investors","320 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambia's Chibuluma mines sold","574 words"," Africa News","","",
"Janet Ilunga, Times of Zambia (Lusaka)","","","Zambia;K54,000 blue books penalty on today","414 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Zambia;Boost ties, officials urged","627 words"," Africa News","","",
"Victor Kayira, Isaac Malambo and Exhilda Siame, Times of Zambia (Lusaka)","","","Zambia;Zamtel to slash staff allowances","614 words"," Africa News","","",
"Enock Ngoma and Shapi Shacinda, Times of Zambia (Lusaka)","","","Zambia;23 UNIP rioters deny charge","800 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Science and Health;Zambian AIDS Orphans assured of help","440 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Zambia;Discuss Lunda, Luvale urged","307 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Zambia;Solwezi vendors allocated plots","467 words"," Africa News","","",
"Maureen Marud, Cape Argus (Cape Town)","","","Business and Finance;Cavendish tenants want a square deal","1547 words"," Africa News","","",
"David Yutar, Cape Argus (Cape Town)","","","Arts and Entertainment;Elana Newman: Arranging concerts with musical flair","1627 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Terror in a marketplace (Editorial)","494 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;FW knew of plan to 'eliminate' foes Boraine claims","627 words"," Africa News","","",
"Joseph Aranes, Cape Argus (Cape Town)","","","South Africa;Cops' probe of Staggie lynching drags","400 words"," Africa News","","",
"Homes shot up in overnight attacks, Cape Argus (Cape Town)","","","South Africa;Cops unveil strategy to halt Cape Flats gang war","654 words"," Africa News","","",
"Lindsay Barnes, Cape Argus (Cape Town)","","","South Africa;I'm sorry I called you a darkie","520 words"," Africa News","","",
"Oswald Shivute, The Namibian (Windhoek)","","","Namibia;Threat of violence looms","747 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;Bumper grain harvest, grazing looking good","427 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;DTA's Staby quits politics","800 words"," Africa News","","",
"The Namibian (Windhoek)","","","Namibia;President 'out of step' on Indonesia","440 words"," Africa News","","",
"Frederick Wamala, New Vision (Kampala)","","","Business and Finance;Vehicle Alarms Imported En-Masse","294 words"," Africa News","","",
"Herbert Ogwang, New Vision (Kampala)","","","Business and Finance;Transocean Uganda Retrenches 96 Workers","480 words"," Africa News","","",
"Sarah Ryle, New Vision (Kampala)","","","Uganda;A Nation Coming Out Of Poverty","1320 words"," Africa News","","",
"Nathan Etengu, New Vision (Kampala)","","","Uganda;PALLISA UCB STAFF HELD OVER 54M/=","387 words"," Africa News","","",
"Moses Sserwanga and John Nzinjah in, New Vision (Kampala)","","","Uganda;CAPTURED ADF REBELS PARADED","387 words"," Africa News","","",
"Anne Mugisa and Michael Ssentongo, New Vision (Kampala)","","","Uganda;Ssemo Ready To Quit","480 words"," Africa News","","",
"New Vision (Kampala)","","","Science and Health;KICK POLIO OUT! (Editorial)","774 words"," Africa News","","",
"Margaret Muhanga, New Vision (Kampala)","","","Science and Health;Ungandan PM Counsels On Vaccination","440 words"," Africa News","","",
"John Eremu, New Vision (Kampala)","","","Uganda;Makerere Students To Pay For Residence","520 words"," Africa News","","",
"Kyomuhendo Muhanga and Moses Serwanga, New Vision (Kampala)","","","Uganda;ADF Victims To Be Compensated","560 words"," Africa News","","",
"Denye Kalebbo, Kalungi Kabuye and Joseph Weddi, New Vision (Kampala)","","","Uganda;Third Grenade Attack Kills Nakulabye Girl","387 words"," Africa News","","",
"Mutahi Mureithi, Paul Redfern And Reuters, The Nation (Nairobi)","","","Kenya;Shilling falls as IMF stops aid","1974 words"," Africa News","","",
"Helge Schutz, The Namibian (Windhoek)","","","Namibia;Swapo solidly behind spy bill","534 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;Shinguadja hits back at Nafau claims","427 words"," Africa News","","",
"Julius Zava, Zimbabwe Standard (Harare)","","","Zimbabwe;ZRP probes Shamva MP","1547 words"," Africa News","","",
"Shytalk (Column), Zimbabwe Standard (Harare)","","","Zimbabwe;Cabinet reshuffle leaves more questions than answers","2200 words"," Africa News","","",
"Sports Writer, Zimbabwe Standard (Harare)","","","Sports - Soccer;Coaches clash before crucial tie","320 words"," Africa News","","",
"Michael Kariati, Zimbabwe Standard (Harare)","","","Sports - Soccer;Fabisch reaffirms commitment to Zimbabwe","667 words"," Africa News","","",
"Staff Writer, Zimbabwe Standard (Harare)","","","Business and Finance;Zimbank fails to pin Mahofa over $320 000 debt","1134 words"," Africa News","","",
"Karen Paul, Zimbabwe Standard (Harare)","","","Zimbabwe;Youngsters in Chimanimani found by satellite","854 words"," Africa News","","",
"Kudakwashe Marazanye (Commentary), Zimbabwe Standard (Harare)","","","Zimbabwe;Zimbabwe - paradise for expatriates, hell for locals?","1654 words"," Africa News","","",
"Zimbabwe Standard (Harare)","","","Sports - Soccer;Time for Zifa to sort out the mess (Editorial)","547 words"," Africa News","","",
"Geoffrey Kamali, Joyce Namutebi and Martin Okumu, New Vision (Kampala)","","","Uganda;Fathers Block Polio Immunisation","467 words"," Africa News","","",
"Betty Kagoro, New Vision (Kampala)","","","Uganda;ENVIRONMENTALISTS ATTACK GOVT","614 words"," Africa News","","",
"Andrew Ndawula Kalema, New Vision (Kampala)","","","Uganda;Amin's Sons Start Where Dad Left","707 words"," Africa News","","",
"Eric Lakidi, New Vision (Kampala)","","","Uganda;Kony Now Uses Dogs To Torture His Victims","294 words"," Africa News","","",
"Sunday Vision Team, New Vision (Kampala)","","","Uganda;POLICE PUT ON ALERT","574 words"," Africa News","","",
"JOSEPH LUPELE, The Nation (Nairobi)","","","Kenya;Reforms: Wamalwa now says no to NCEC","640 words"," Africa News","","",
"JOSEPH LUPELE, The Nation (Nairobi)","","","Kenya;Reforms: Wamalwa now says no to NCEC","640 words"," Africa News","","",
"KWENDO OPANGA (Commentary), The Nation (Nairobi)","","","Kenya;IMF saga and pitfalls of a state within the State","1934 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;Crucial week ahead for political process (Editorial)","1067 words"," Africa News","","",
"DOMINIC NGIGI, The Nation (Nairobi)","","","Business and Finance;High cost of borrowing threatens Kenya's property market","1014 words"," Africa News","","",
"MUTUMA MATHIU, The Nation (Nairobi)","","","Kenya;The mayor and his missing limousine","627 words"," Africa News","","",
"MUSA RADOLI and BENSON AMADALA, The East African (Nairobi)","","","Kenya;Alarm over Govt houses","627 words"," Africa News","","",
"Mbatau wa Ngai, The East African (Nairobi)","","","Kenya;Government Infighting Threatens Kenya's Economy","2307 words"," Africa News","","",
"John Githongo (Commentary), The East African (Nairobi)","","","Kenya;In Kenya, August 1 Carries a Curse","960 words"," Africa News","","",
"Adonia Ayebare, The East African (Nairobi)","","","Uganda;Army to Help Police on Grenade Blasts","880 words"," Africa News","","",
"Gitau Warigi, The East African (Nairobi)","","","Kenya;Anger Over Criticism of Judge","1667 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Kenyan Stock Market Depressed","374 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Eritrea;Eritrea Prepares To Launch New Currency, The Nakfa","814 words"," Africa News","","",
"Newton Kanhema, PANA Correspondent, Panafrican News Agency","","","South Africa;Anti-Apartheid Icon, Allan Boesak Tried For Theft","1107 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Business and Finance;Zambia's Tourism Industry Makes Progress","414 words"," Africa News","","",
"Panafrican News Agency","","","Kenya;Kenya Envisages Constitutional Reform Commission","534 words"," Africa News","","",
"Ferdinand Bigumandondera, PANA Correspondent, Panafrican News Agency","","","Burundi;Burundi Parliament Seeks Role In Arusha Peace Talks","774 words"," Africa News","","",
"Bouazza Ben Bouazza, PANA Correspondent, Panafrican News Agency","","","Morocco;Tourism Sector On The Road To Recovery","534 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Sierra Leone;West African Force At Alert In Sierra Leone","720 words"," Africa News","","",
"United Nations","","","Liberia; Secretary-General Statement on Liberian;Inauguration","574 words"," Africa News","","",
"Business Malawi (Blantyre)","","","Malawi;Fertiliser Production Goes Local","294 words"," Africa News","","",
"Business Malawi (Blantyre)","","","Business and Finance;Big Booster In Pipeline For Malawi Bourse","454 words"," Africa News","","",
"Business Malawi (Blantyre)","","","Malawi;New Trade Laws In Pipeline","507 words"," Africa News","","",
"Business Malawi (Blantyre)","","","Malawi;Government Backs Down On Tax Concessions","280 words"," Africa News","","",
"Business Malawi (Blantyre)","","","Business and Finance;Forecast Predicts Tough Times Ahead For Malawi","400 words"," Africa News","","",
"Business Malawi (Blantyre)","","","Business and Finance;Malawi's Currency Drop Causes Panic","734 words"," Africa News","","",
"Business Malawi (Blantyre)","","","Business and Finance;Fraud Hits Malawi's Insurance Industry","240 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Business and Finance;Zimbabwe: How Independent Is Joy TV?","734 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Business and Finance;Zimbabwe's Poor Economic Forecasters","174 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Zimbabwe;Speaker Ndebele's Grand Ideas","267 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Zimbabwe;Banana and OJ","387 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Zimbabwe;Presidential Flights And Fokkers","414 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Zimbabwe;Kabasa Sets Good Example","600 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Zimbabwe;9KG OF COCAINE RECOVERED IN TWO MONTHS","254 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Zimbabwe;Armed Robberies In Bulawayo Worrying","374 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Business and Finance;Zimbabwe's Clothing, Textile Sector Still In Trouble","680 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Business and Finance;Zimbabwe: Uncertainty In Wheat Market","214 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Business and Finance;Boost For Zimbabwe Tobacco from Philip Morris","320 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Business and Finance;Zimbabwe Farmers To Be Given Major Stake In Cotton Firm","494 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Business and Finance;Finhold Issue To Provide Test For Investors","774 words"," Africa News","","",
"Charles Rukuni, The Insider (Harare)","","","Business and Finance;Bad News Brings Joy To Zimbabwe Stock Exchange","1200 words"," Africa News","","",
"Philip Baum, The Insider (Harare)","","","Business and Finance;Zimbabwe: We Are In This Together (Column)","1627 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Business and Finance;Zimbabwe Construction Boom Expected","547 words"," Africa News","","",
"Charles Rukuni, The Insider (Harare)","","","Zimbabwe;Cabinet: Reshuffle Or Recycling?","1600 words"," Africa News","","",
"Staff Writer, The Insider (Harare)","","","Zimbabwe;Zimbabwe's Month in Brief","1347 words"," Africa News","","",
"Charles Rukuni, The Insider (Harare)","","","Zimbabwe;ZANU-PF Using Financial Squeeze To Keep MPs In Line","3734 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","United States and Africa;AFRICA RELATED LEGISLATION: An Update","920 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Congo;African Initiatives at Work","587 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Burundi;Nyerere Continues Burundi Peace Efforts","547 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","United States and Africa;Democratic Republic of Congo: U.S. Policy and human rights","1494 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Sierra Leone;NGOs Meet in Canada","1040 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Sudan;Africa's Longest War Continues","640 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Liberia;"The End Justifies the Means"","600 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Kenya;Will Moi Weather the Storm?","1040 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","United States and Africa;U.S. Partnership With Africa?","1294 words"," Africa News","","",
"National Party (South Africa)","","","South Africa; NP Supports Creation Of New Justice Posts","334 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Amnesty for Coetzee, Tshikalange, Nofomela","467 words"," Africa News","","",
"NATION Correspondent, The Nation (Nairobi)","","","Kenya;Three year old survives kidnap ordeal","547 words"," Africa News","","",
"OLIVER MUSEMBI, The Nation (Nairobi)","","","Kenya;Suspected Thika cattle thieves lynched","387 words"," Africa News","","",
"KIPKOECH TANUI, The Nation (Nairobi)","","","Kenya;Freight body backs Chebii","547 words"," Africa News","","",
"Ashley Smith, Cape Argus (Cape Town)","","","South Africa;Pagad takes message into gangsters' den","507 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Parliament and Cape Town (Editorial)","494 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","Sports - General;2004: We're all set for a flying finish","894 words"," Africa News","","",
"Don Lilford, Cape Argus (Cape Town)","","","South Africa;Spreading the word on dangers of drugs to teens","1494 words"," Africa News","","",
"Thabo Mabaso, Cape Argus (Cape Town)","","","Business and Finance;SAB strike postponed as union holds ballot","414 words"," Africa News","","",
"Clive Sawyer, Cape Argus (Cape Town)","","","South Africa;ANC sets sights on new world order","2280 words"," Africa News","","",
"John Odyek, New Vision (Kampala)","","","Uganda;Parliament Demands Explanation On Jobs","467 words"," Africa News","","",
"Geoffrey Kamali, New Vision (Kampala)","","","Uganda;GOVT TO ESTABLISH NEW RURAL MARKETS","320 words"," Africa News","","",
"New Vision (Kampala)","","","Business and Finance;Ugandan Insurers Attack Statute","467 words"," Africa News","","",
"James Oweka, New Vision (Kampala)","","","Uganda;ARUA SOLDIERS HELD OVER TORTURE","280 words"," Africa News","","",
"William Bakandema, New Vision (Kampala)","","","Uganda;Kisoro Rebel Boss Arrested","347 words"," Africa News","","",
"Nathan Etengu, New Vision (Kampala)","","","Uganda;Pallisa Bank Theft Puzzles Cops","640 words"," Africa News","","",
"Henry Tumwine, New Vision (Kampala)","","","Uganda;NTUNGAMO WRANGLE IN COURT","574 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Chakamchaka Should Resume (Editorial)","640 words"," Africa News","","",
"Yunusu Abbey, New Vision (Kampala)","","","Uganda;Muslim Council Issues Election Guidelines","294 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Nairobi Shifts Flights To E'bbe","387 words"," Africa News","","",
"Grace Matsiko, New Vision (Kampala)","","","Uganda;City Robust Despite Blasts","227 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;MUSEVENI REJECTS TRIBALISM","400 words"," Africa News","","",
"Erich Ogoso Opolot, New Vision (Kampala)","","","Uganda;ENTEBBE HIGHWAY CONTRACTOR STOPPED","654 words"," Africa News","","",
"Moses Sserwanga in Boma, Fort Portal, New Vision (Kampala)","","","Uganda;Chakamchaka Set To Resume","387 words"," Africa News","","",
"Emmy Allio, New Vision (Kampala)","","","Uganda;ADF Arms Seized In Arua","374 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;Bank watching and waiting on forex","760 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;Electoral reform on way","707 words"," Africa News","","",
"Oswald Shivute, The Namibian (Windhoek)","","","Namibia;Chaos as King is inaugurated","774 words"," Africa News","","",
