"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","","","E X H I B I T I O N S/P R O G R A M S","507 words"," Africa News","","",
"","","","P L A N N I N G A H E A D","800 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","867 words"," Africa News","","",
"","","","LETTERS TO AFRICA NEWS ON-LINE","467 words"," Africa News","","",
"","","","POLICY UNITED STATES LIFTS ARMS EMBARGO TO ANGOLA U.S. Department of State, Bureau of Politico-Military Affairs","334 words"," Africa News","","",
"","","","EDITORIAL "WHEN WILL THE WORLD INTERVENE IN SUDAN?" Bona Malwal, "Sudan Democratic Gazette," July 1993","774 words"," Africa News","","",
"","","","JOINT UNDERTAKING BETWEEN NELSON MANDELA, PRESIDENT OF THE ANC AND INKOSI MANGOSUTHU BUTHELEZI, PRESIDENT OF IFP AND CHIEF MINISTER OF KWAZULU","2627 words"," Africa News","","",
"","","","UNITED NATIONS SECRETARY-GENERAL BOUTROS-GHALI ADDRESS TO ORGANIZATION OF AFRICAN UNITY","8280 words"," Africa News","","",
"","","","CURRENCY EXCHANGE RATES","1508 words"," Africa News","","",
"","","","BUSINESS","640 words"," Africa News","","",
"","","","EDUCATION","747 words"," Africa News","","",
"","","","EMPLOYMENT","1227 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","934 words"," Africa News","","",
"","","","VISITORS","960 words"," Africa News","","",
"","","","PUBLICATIONS","1227 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","520 words"," Africa News","","",
"","","","PLANNING AHEAD","254 words"," Africa News","","",
"","","","","1240 words"," Africa News","","",
"","","","LETTER TO THE WORLD BANK: Inter-Church Coalition on Africa","2334 words"," Africa News","","",
"Kenna Owoh","","","COMMENTARY ON THE WORLD BANK'S WORLD DEVELOPMENT REPORT 1993: INVESTING IN HEALTH","587 words"," Africa News","","",
"","","","STATEMENT KOFI A. ANNAN, UNDERSECRETARY-GENERAL FOR PEACEKEEPING OPERATIONS: UNITED NATIONS","987 words"," Africa News","","",
"","","","STATEMENT THE MAKING OF THE ETHIOPIAN CONSTITUTION ADDRESS BY H.E. MELES ZENAWI","2734 words"," Africa News","","",
"","","","STATEMENT: ZAIRE'S POLITICAL SITUATION ADDRESS BY ARCHBISHOP MONSENGWO","1507 words"," Africa News","","",
"","","","STATEMENT ZAIRE: VISIT OF PRESIDENTIAL ENVOY: U.S. DEPARTMENT OF STATE, MICHAEL MCCURRY, spokesman","307 words"," Africa News","","",
"","","","UPDATE ON AFRICATREK -- SUMMER 1993","867 words"," Africa News","","",
"Moffat Ekoriko","","","WHAT IS THE TRUTH?","1414 words"," Africa News","","",
"Farouk Chothia","","","NATAL PEACE PRIZE WINNER: THE WEEKLY MAIL, July 2-8, 1993","1387 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","3584 words"," Africa News","","",
"","","","BUSINESS","574 words"," Africa News","","",
"","","","EDUCATION","1600 words"," Africa News","","",
"","","","EMPLOYMENT","1814 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","1214 words"," Africa News","","",
"","","","VISITORS","907 words"," Africa News","","",
"","","","PUBLICATIONS","827 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","560 words"," Africa News","","",
"","","","PLANNING AHEAD","387 words"," Africa News","","",
"","","","FEMALE GENITAL MUTILATION: WORLD HEALTH ASSEMBLY CALLS FOR THE ELIMINATION OF HARMFUL TRADITIONAL PRACTICES","1254 words"," Africa News","","",
"","","","REPORT OF THE UNITED NATIONS SECRETARY-GENERAL ON THE SITUATION CONCERNING WESTERN SAHARA","1787 words"," Africa News","","",
"","","","CONGRESSIONAL LETTER TO U.S. DEPARTMENT OF STATE ON LIBERIA","880 words"," Africa News","","",
"","","","U.S. WELCOMES SIGNING OF LIBERIA PEACE AGREEMENT","294 words"," Africa News","","",
"","","","EXCERPTS FROM: STATEMENT OF REP. WILLIAM J. JEFFERSON (D-LA) BEFORE THE COMMITTEE ON AFRICA","467 words"," Africa News","","",
"Scott Stearns BBC - FOCUS ON AFRICA, July-September 1993, Volume 4 Number 3","","","BASKET CASE -- YINKA DARE OF NIGERIA","1160 words"," Africa News","","",
"BBC - FOCUS ON AFRICA, July-September 1993, Volume 4, Number 3","","","COTE D'IVOIRE'S HOUPHOUET-BOIGNY: SO OLD, SO WISE?","1027 words"," Africa News","","",
"Reed Kramer, Africa News Service","","","CLINTON ASKED TO BACK PEACE IN LIBERIA","1827 words"," Africa News","","",
"","","","* BUSINESS","675 words"," Africa News","","",
"","","","* EDUCATION/TRAVEL","1800 words"," Africa News","","",
"","","","* EMPLOYMENT","1614 words"," Africa News","","",
"","","","* VOLUNTEER OPPORTUNITIES","1214 words"," Africa News","","",
"","","","* VISITORS","467 words"," Africa News","","",
"","","","* PUBLICATIONS","1120 words"," Africa News","","",
"","","","* EXHIBITIONS/PROGRAMS","520 words"," Africa News","","",
"","","","* PLANNING AHEAD","400 words"," Africa News","","",
"","","","THE SAHARA EQUATORIAL AFRICA EASTERN AND SOUTHERN AFRICA","1840 words"," Africa News","","",
"","","","UNITED STATES PEACE-KEEPERS IN SOMALIA","294 words"," Africa News","","",
"","","","ON BEHALF OF THE SOUTHERN SUDANESE AND NUBA MOUNTAINS PEOPLE","534 words"," Africa News","","",
"Amnesty International","","","CHAD: MORE THAN 30 CIVILIANS KILLED BY MEMBERS OF THE SECURITY FORCES, MANY OF THEM EXTRAJUDICIALLY","1494 words"," Africa News","","",
"Amnesty International","","","(sh At least 35 members of the Ogoni ethnic group from the town of Kaa in Rivers State, including Mr Nwiku and three young children","1094 words"," Africa News","","",
"United Nations Information Centre","","","OBSERVERS TO LIBERIA TO MONITOR CEASE-FIRE AS CALLED FOR IN 25 JULY COTONOU AGREEMENT","5547 words"," Africa News","","",
"United Nations Information Centre","","","UNITED NATIONS OBSERVER MISSION UGANDA-RWANDA","1707 words"," Africa News","","",
"","","","CURRENCY EXCHANGE RATES","1819 words"," Africa News","","",
"","","","BUSINESS","480 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","1080 words"," Africa News","","",
"","","","EMPLOYMENT","1734 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","1187 words"," Africa News","","",
"","","","VISITORS","814 words"," Africa News","","",
"","","","PUBLICATIONS","854 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","667 words"," Africa News","","",
"","","","PLANNING AHEAD","387 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","1720 words"," Africa News","","",
"","","","EMERGENCY TRUCK FLEET RE-DEPLOYED TO RWANDA","814 words"," Africa News","","",
"","","","WFP DISCONTINUES TWO MORE AIRLIFTS AS ROADS TO CAIA AND MARINGUE ARE OPENED","960 words"," Africa News","","",
"","","","HUNGER, SUFFERING AND DEATH IN ANGOLA","1987 words"," Africa News","","",
"","","","STATEMENT AFRICAN NATIONAL CONGRESS -- MISSION TO THE UNITED STATES NATIONAL EXECUTIVE COMMITTEE OF THE AFRICAN NATIONAL CONGRESS","1067 words"," Africa News","","",
"Richard Joseph","","","THE UNITED STATES AND DEMOCRACY IN AFRICA","1414 words"," Africa News","","",
"","","","I'LL BE PRESIDENT -- Interview with Nigeria's M.K.O. Abiola NEWSWATCH","800 words"," Africa News","","",
"Utibe Ukim, NEWSWATCH, August 30, 1993","","","M.K.O. Abiola vows to assume office August 27 but interim national government arrangement may have pulled the rug from under his feet.","1414 words"," Africa News","","",
"Cindy Shiner AFRICA NEWS SERVICE","","","Nigeria plans to withdraw from peace-keeping force in Liberia","734 words"," Africa News","","",
"Cindy Shiner AFRICA NEWS SERVICE","","","FORMER CENTRAL AFRICAN REPUBLIC PRESIDENT FREED","467 words"," Africa News","","",
"","","","CURRENCY EXCHANGE RATES","1845 words"," Africa News","","",
"","","","BUSINESS","1360 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","1227 words"," Africa News","","",
"","","","EMPLOYMENT","3067 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","1187 words"," Africa News","","",
"","","","VISITORS","1387 words"," Africa News","","",
"","","","PUBLICATIONS","1480 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","1507 words"," Africa News","","",
"","","","PLANNING AHEAD","760 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","2174 words"," Africa News","","",
"Zwelakhe Sisulu, SUNDAY NATION, August 29, 1993","","","ZWELAKHE SISULU ON THE CUTTING EDGE","1054 words"," Africa News","","",
"Annabel Dunn, AFRICA SOUTH AND EAST:NEWS MAGAZINE OF THE SUBCONTINENT, July 1993","","","PHONE LINES FOR ALL","960 words"," Africa News","","",
"Raymond Mashao, SUNDAY NATION, August 15-21, 1993","","","TELL THE WORLD ABOUT OUR PLIGHT","1587 words"," Africa News","","",
"","","","THE PANA RECOVERY PLAN: PRIVATISATION OR BUST","787 words"," Africa News","","",
"Utibe Ukim, NEWSWATCH, September 13, 1993","","","IT'S A POLITICAL DECISION","1720 words"," Africa News","","",
"Gaye Davis, THE WEEKLY MAIL & GUARDIAN (South Africa)","","","THE KILLING THAT TURNED GUGULETU TO PEACE","1067 words"," Africa News","","",
"Chris Louw, THE WEEKLY MAIL & GUARDIAN (South Africa)","","","HOW THE ANC WOULD HANDLE FOREIGN AFFAIRS","840 words"," Africa News","","",
"","","","BUSINESS","2238 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","1494 words"," Africa News","","",
"","","","EMPLOYMENT","4894 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","1254 words"," Africa News","","",
"","","","VISITORS","880 words"," Africa News","","",
"","","","PUBLICATIONS","467 words"," Africa News","","",
"","","","PLANNING AHEAD","93 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","293 words"," Africa News","","",
"","","","EXCERPTS OF THE STATEMENT BY H.E. MR. ISAIAS AFWERKI PRESIDENT OF THE STATE OF ERITREA AT THE 48TH SESSION OF THE UNITED NATIONS GENERAL ASSEMBLY NEW YORK, SEPTEMBER 30, 1993","1080 words"," Africa News","","",
"Rehana Rossouw, SOUTH","","","ANC ELECTION LIST: "MEMBERS WILL DECIDE"","1000 words"," Africa News","","",
"","","","PRESS RELEASE THE NIGHTMARE CONTINUES... ABUSES AGAINST SOMALI REFUGEES IN KENYA AFRICAN RIGHTS","2147 words"," Africa News","","",
"SIR DAWDA, DAILY OBSERVER, Friday, September 3, 1993","","","MOVE FAST ON ECOWAS CURRENCY: TO SAVE SUB-REGIONAL TRADE","1080 words"," Africa News","","",
"from NEWS, September 16, 1993 The U.S. Committee For Refugees","","","TRANSITION IN BURUNDI: THE CONTEXT FOR A HOMECOMING","1054 words"," Africa News","","",
"","","","BUSINESS","1091 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","3094 words"," Africa News","","",
"","","","EMPLOYMENT","3907 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","1200 words"," Africa News","","",
"","","","VISITORS","1054 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","880 words"," Africa News","","",
"","","","PLANNING AHEAD","894 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","2347 words"," Africa News","","",
"SOUTH (South Africa), October 1-5, 1993","","","CGF OUTRUNS MARKET LEADERS","854 words"," Africa News","","",
"MISA FREE PRESS (Namibia), October '93","","","WHO GIVES AN OSLOBODENJE ABOUT ANGOLA?","787 words"," Africa News","","",
"Ray Ekpu, NEWSWATCH (Nigeria), October 4, 1993","","","DREAMS, SHATTERED DREAMS: A SPECIAL REPORT ON NIGERIA'S ECONOMY","2774 words"," Africa News","","",
"","","","CURRENCY EXCHANGE RATES","2205 words"," Africa News","","",
"","","","BUSINESS","134 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","3120 words"," Africa News","","",
"","","","EMPLOYMENT","5440 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","1174 words"," Africa News","","",
"","","","VISITORS","1427 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","720 words"," Africa News","","",
"","","","PLANNING AHEAD","1360 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","1827 words"," Africa News","","",
"","","","TOKYO DECLARATION ON AFRICAN DEVELOPMENT: "TOWARDS THE 21ST CENTURY"","3787 words"," Africa News","","",
"","","","WE MUST END THE WAR: A Soul-Searching Quest for Peace in the Sudan","1267 words"," Africa News","","",
"Roy Laishley, AFRICA RECOVERY, United Nations Vol. 7 No. 2 October 1993","","","AFRICA FACES CRISIS OVER AID AS WORLD BANK LENDING FALLS","2267 words"," Africa News","","",
"","","","CURRENCY EXCHANGE RATES","2484 words"," Africa News","","",
"","","","BUSINESS","814 words"," Africa News","","",
"","","","EDUCATION/TRAVEL","3320 words"," Africa News","","",
"","","","EMPLOYMENT","6787 words"," Africa News","","",
"","","","VOLUNTEER OPPORTUNITIES","1107 words"," Africa News","","",
"","","","VISITORS","1040 words"," Africa News","","",
"","","","EXHIBITIONS/PROGRAMS","600 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","3654 words"," Africa News","","",
"","","","RESOLUTION TO REMOVE UNITED STATES ARMED FORCES FROM SOMALIA BY JANUARY 31, 1994.","480 words"," Africa News","","",
"Stephen Laufer (South Africa), THE WEEKLY MAIL & GUARDIAN, October 28 to November 4, 1993","","","THE BATTLE FOR SOUTH AFRICA'S WAR-MACHINE","1560 words"," Africa News","","",
"Reg Rumney","","","ANC WANTS GOOD CORPORATE CITIZENS","920 words"," Africa News","","",
