"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","","","WASHINGTON'S AFRICA POLICY: WHO'S MAKING IT?","1560 words"," Africa News","","",
"William Close","","","VIEWPOINT The Clinton Administration Should Back the Democratic Forces in Zaire","707 words"," Africa News","","",
"","","","VIEWPOINT Black Rhinos are Nearly Extinct","1187 words"," Africa News","","",
"","","","ZAIRE Fast Facts","320 words"," Africa News","","",
"Cindy Shiner * Africa News Service","","","PRESSURES FOR CHANGE BUILD AMID ZAIRE VIOLENCE Will the recent clashes break the deadlock between pro-democracy forces and a dictator who appears to be losing his grip?","1027 words"," Africa News","","",
"","","","SUDAN Fast Facts","294 words"," Africa News","","",
"Francois Vinsot","","","WAR CREATES FAMINE IN SOUTHERN SUDAN Starvation in Somalia finally caught our attention. But in nearby Sudan, at least 600,000 people have died in a bloody civil war that attracts little notice.","1640 words"," Africa News","","",
"Jennifer Griffin for Africa News Service","","","GOLD PRICE DROP IDLES MINERS IN SOUTH AFRICA The economic downturn could threaten delicate political negotiations.","867 words"," Africa News","","",
"Reed Kramer * Africa News Service","","","ANGOLA AND ZAIRE EDGE ONTO CROWDED FOREIGN POLICY AGENDA Two of Africa's longest-simmering conflicts are hot again, presenting President Clinton with an early test of his response to crises in areas where the United States has had significant Cold War interests.","1747 words"," Africa News","","",
"","","","","869 words"," Africa News","","",
"","","","DATELINE: AFRICA","1267 words"," Africa News","","",
"Victoria Brittain INSIGHT/Guardian News Service","","","WORLD BANK REMEDIES CAUSE MISERY IN AFRICA","1254 words"," Africa News","","",
"Winifred Armstrong","","","ECONOMIC PREMISES NEED RE-THINKING","854 words"," Africa News","","",
"Edward V.K. Jaycox","","","STRUCTURAL ADJUSTMENT SPURS AFRICAN DEVELOPMENT","1534 words"," Africa News","","",
"","","","Recipes for an African Meal","1894 words"," Africa News","","",
"","","","THE UNDISCOVERED DELIGHT OF AFRICAN CUISINE","920 words"," Africa News","","",
"Harry Amana for Africa News Service","","","AFRICAN JAZZ: FAMILIAR BUT UNIQUE","1120 words"," Africa News","","",
"David Turecamo for Africa News Service","","","AFRICA'S BIANNUAL BOW TO FILM KEEPS GROWING","667 words"," Africa News","","",
"","","","GETTING AROUND","667 words"," Africa News","","",
"","","","YAMOUSSOUKRO OFFERS SIGHTS WITHOUT SIGHTSEERS For the traveler who'd rather see than be seen, the town is worth a trip.","1214 words"," Africa News","","",
"Tami Hultman * Africa News Service","","","REFUGEES AND RIGOLETTO Lyric soprano finds human rights work rounds out a demanding career.","1747 words"," Africa News","","",
"","","","ENDLESS WAR","227 words"," Africa News","","",
"Joyce M. Davis for Africa News Service","","","HASSAN AL TURABI'S ISLAMIC DREAM FOR SUDAN The most powerful man in Africa's largest nation wants to create an ideal state based on Muslim principles.","2147 words"," Africa News","","",
"","","","BRIEFING","1467 words"," Africa News","","",
"","","","WINDING THE WAY TO POST-APARTHEID ELECTIONS","480 words"," Africa News","","",
"Allister Sparks * INSIGHT/Observer News Service","","","LOYALTY OF MIXED-RACE SOUTH AFRICANS UP FOR GRABS The government aims to win the support of the Coloured community away from the African National Congress, despite decades of discrimination against racially mixed people.","1467 words"," Africa News","","",
"Africa News Service","","","IN TEST WITH DEMOCRACY, AFRICAN LEADERS LOSE SOME, WIN SOME Wave of democracy rocks incumbents, but some survive to reign another day.","2680 words"," Africa News","","",
"","","","WHAT'S IN A TITLE?","134 words"," Africa News","","",
"Reed Kramer * Africa News Service","","","TIES THAT BIND Pressure points considered to back change in Zaire.","1214 words"," Africa News","","",
"Tony Avirgan and Livia Montana * Africa News Service","","","CRISIS GROWS AS ZAIRE DEADLOCK CONTINUES Democracy campaign presses for ouster of longtime ruler.","854 words"," Africa News","","",
"","","","DATELINE: AFRICA","1798 words"," Africa News","","",
"","","","AN AFRICAN MUSEUM IN NEW YORK","640 words"," Africa News","","",
"","","","THE POWER AND THE GLORY OF AFRICAN ART A conversation with Susan Vogel, executive director of the Manhattan's new Museum for African Art.","1787 words"," Africa News","","",
"","","","BRIEFING","1840 words"," Africa News","","",
"Jan Raath * INSIGHT/Observer News Service","","","ZIMBABWE SAYS NO TO WHITES WHO WANT THE GOOD LIFE BACK","720 words"," Africa News","","",
"Jennifer Griffin for Africa News Service","","","RURAL SOUTH AFRICA SEES THE LIGHT The government and the ANC agree on the need to electrify vast, neglected areas of the country.","1440 words"," Africa News","","",
"Tony Avirgan * Africa News Service","","","REPORTER'S NOTEBOOK FORTITUDE REQUIRED FOR ZAIRE REPORTING","1454 words"," Africa News","","",
"Jim Cason for Africa News Service","","","","2294 words"," Africa News","","",
"Derald Everhart for Africa News Service","","","AFRICATREK PEDDLERS REACH CENTRAL AFRICA Riders for international understanding are still going strong.","907 words"," Africa News","","",
"","","","ANGOLA: PLAYING FOR PEACE WITH TOO FEW CARDS","1134 words"," Africa News","","",
"Reed Kramer * Africa News Service","","","UNITED NATIONS WAGES PEACE ON A TIGHT BUDGET Africa has the world's hottest conflicts, but peace has come at long last to tortured corners of the continent.","1974 words"," Africa News","","",
"","","","PUBLICATIONS","1820 words"," Africa News","","",
"","","","MUSIC","147 words"," Africa News","","",
"","","","DATELINE: AFRICA","2547 words"," Africa News","","",
"John Prendergast","","","NEW APPROACH NEEDED IN SOMALIA","1307 words"," Africa News","","",
"James P. Grant","","","WHAT THE WORLD NEEDS NOW...","827 words"," Africa News","","",
"","","","MOROCCAN BEAUTIES","160 words"," Africa News","","",
"Howard W. French for Africa News Service","","","TRAVEL: WEST AFRICA EN FAMILLE A car trip with two children down Africa's democracy road.","2160 words"," Africa News","","",
"","","","TRAVEL: "REALITY TOURS" OFFER A NEW WAY TO SEE THE WORLD A conversation with Kevin Danaher of Global Exchange, a San Francisco-based organization that promotes public education in global issues.","2014 words"," Africa News","","",
"Victoria Brittain * INSIGHT/Guardian News Service","","","ANGOLAN WAR SPAWNS COMPLEX WEB OF PROFITEERS Fierce, deadly conflict continues.","1907 words"," Africa News","","",
"Pratap Chatterjee * INSIGHT/Guardian News Service","","","SANDS OF TIME RUNNING OUT AS AFRICA'S DESERTS ADVANCE Current efforts to tackle the problem could ease poverty and slow global warming. London","1400 words"," Africa News","","",
"","","","BRIEFING","1227 words"," Africa News","","",
"Jonathan Ewing for Africa News Service","","","THE 'OTHER SOMALIA' PURSUES INDEPENDENT TRAIL Berbera, Somalia","947 words"," Africa News","","",
"Derald Everhart for Africa News Service","","","CAMEROON POLICE KILL PROTESTERS Opposition coalition presses demand for national democracy conference.  Yaounde, Cameroon","1094 words"," Africa News","","",
"Tami Hultman * Africa News Service","","","OPPOSITION BCP SWEEPS LESOTHO POLLS Africa's three-year-old democracy bandwagon is still rolling.","1347 words"," Africa News","","",
"","","","COUNTDOWN TO DEMOCRACY","774 words"," Africa News","","",
"Charles E. Cobb, Jr.","","","VOTES, VIOLENCE AND LIFE","480 words"," Africa News","","",
"Jim Cason for Africa News Service","","","SOUTH AFRICAN ELECTIONEERING GAINS MOMENTUM Campaign for first democratic election gears up as negotiations on procedures continue.","2507 words"," Africa News","","",
"Judith Mushipe","","","POETRY: MUSINGS ON THE 13TH ANNIVERSARY OF ZIMBABWE'S INDEPENDENCE WHERE THE MAJORITY ARE THE MINORITY","227 words"," Africa News","","",
"Harry Amana","","","EUROPE MEETS AFRICA -- AMERICAN STYLE","1227 words"," Africa News","","",
"Ellen Drummond","","","VIEWPOINT MALAWI JOINS AFRICA'S DEMOCRACY MARCH","1254 words"," Africa News","","",
"Vivian Lowery Derryck","","","VIEWPOINT RECOGNIZING ANGOLA WOULD SAVE LIVES","1387 words"," Africa News","","",
"Jim Cason for Africa News Service","","","PUSH FOR SPEEDIER SOUTH AFRICAN TRANSITION FOLLOWS HANI DEATH","1974 words"," Africa News","","",
"Jonathan Ewing for Africa News Service","","","ERITREANS WELCOME STATUS AS AFRICA'S NEWEST NATION","1120 words"," Africa News","","",
"Cindy Shiner * Africa News Service","","","REFUGEES RETURN AFTER HARROWING TREKS","694 words"," Africa News","","",
"Cindy Shiner * Africa News Service","","","REPORTER'S NOTEBOOK: SIERRA LEONE ON THE CUSP OF A REVOLUTION","1694 words"," Africa News","","",
"","","","RWANDA SECOND ONLY TO SOMALIA IN FOOD NEEDS, RED CROSS SAYS","147 words"," Africa News","","",
"","","","WAR ON WILDLIFE","400 words"," Africa News","","",
"Charles Onyango-Obbo * Africa News Service","","","REBELLION ADDS MOMENTUM TO RWANDA REFORM","1800 words"," Africa News","","",
"","","","AFRICA COVERAGE CONTINUES TO LAG","440 words"," Africa News","","",
"","","","BUSINESS","845 words"," Africa News","","",
"","","","EDUCATION","2320 words"," Africa News","","",
"","","","VISITORS","534 words"," Africa News","","",
"","","","VIDEOS","147 words"," Africa News","","",
"","","","PUBLICATIONS","1440 words"," Africa News","","",
"","","","E X H I B I T I O N S","240 words"," Africa News","","",
"","","","P L A N N I N G A H E A D","587 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","1227 words"," Africa News","","",
"","","","AFRICAN WILDLIFE FOUNDATION GOES BIRD WATCHING African Wildlife Foundation","760 words"," Africa News","","",
"","","","WORLD FOOD PROGRAMME PROVIDES EMERGENCY ASSISTANCE TO TOGOLESE REFUGEES IN BENIN World Food Programme","480 words"," Africa News","","",
"","","","U.S./AFRICA POLICY: LETTER TO WARREN CHRISTOPHER, SECRETARY OF STATE","587 words"," Africa News","","",
"","","","CONSTITUTIONAL RIGHTS PROJECT REPORTS ON SEVERE RESTRICTIONS FACING THE NIGERIAN PRESS","947 words"," Africa News","","",
"","","","INADEQUATE SHELTER: WHY A SPECIAL FOCUS ON URBAN WOMEN?","1760 words"," Africa News","","",
"Abdou Karim Sanneh, DAILY OBSERVER (The Gambia)","","","FIGHTING THE FOOD DEFICIT IN THE GAMBIA DAILY OBSERVER, April 26, 1993","507 words"," Africa News","","",
"Christelle Terreblanche, "SOUTH" (SOUTH AFRICA)","","","ANC COULD GET ELECTORAL SHOCK SOUTH, May 1-5, 1993","1187 words"," Africa News","","",
"Anton Harber, The Weekly Mail (SOUTH AFRICA)","","","A GREAT THINKER WHO LAID FERTILE GROUNDS THE WEEKLY MAIL, April 30 - May 6, 1993","1760 words"," Africa News","","",
"Ulibe Ukim, NEWSWATCH","","","N2 BILLION SCANDAL: Nigeria Airways management flies into a murky cloud of scandals--how did it spend N2 billion without the board's knowledge? Who owns or runs Air Nigeria?","4254 words"," Africa News","","",
"","","","FROM THE EDITORIAL SUITE NEWSWATCH COVER STORY, May 10, 1993","534 words"," Africa News","","",
"Reed Kramer, Africa News Service","","","CLINTON FOREIGN POLICY TO INCLUDE AFRICA EMPHASIS-- NATIONAL SECURITY ADVISOR ANTHONY LAKE","934 words"," Africa News","","",
"","","","BUSINESS","1463 words"," Africa News","","",
"","","","EDUCATION","2800 words"," Africa News","","",
"","","","EMPLOYMENT","960 words"," Africa News","","",
"","","","VISITORS","614 words"," Africa News","","",
"","","","PUBLICATIONS","1667 words"," Africa News","","",
"","","","E X H I B I T I O N S","360 words"," Africa News","","",
"","","","P L A N N I N G A H E A D","614 words"," Africa News","","",
"","","","CALENDAR OF EVENTS","1040 words"," Africa News","","",
"The Coalition for Peace in the Horn of Africa Sharon Pauling and John Prendergrast, coordinators","","","NGO POLICY STATEMENT ON SUDAN","1534 words"," Africa News","","",
"","","","MALAWI: THE REFERENDUM AND BUILDING CIVIL SOCIETY by the Lawyers Committee on Human Rights","1320 words"," Africa News","","",
"","","","MK WILL BE TRAINED IN SOUTH AFRICA NEW NATION (South Africa), May 7-13, 1993","680 words"," Africa News","","",
"Abdou Karim Sanneh, DAILY OBSERVER (The Gambia)","","","Environment at Risk","814 words"," Africa News","","",
"Tami Hultman, Africa News Service","","","WORLD BANK TO STRENGTHEN AFRICAN NATIONS' ROLE IN AID Official Urges End To 'Imposing' Expertise","974 words"," Africa News","","",
"","","","* CURRENCY EXCHANGE RATES","1864 words"," Africa News","","",
"","","","* BUSINESS","600 words"," Africa News","","",
"","","","* EDUCATION","3734 words"," Africa News","","",
"","","","* EMPLOYMENT","1080 words"," Africa News","","",
"","","","* VISITORS","480 words"," Africa News","","",
"","","","* PUBLICATIONS","1427 words"," Africa News","","",
"","","","* E X H I B I T I O N S","387 words"," Africa News","","",
"","","","* P L A N N I N G A H E A D","787 words"," Africa News","","",
"","","","* CALENDAR OF EVENTS","1187 words"," Africa News","","",
"","","","NUMBER OF SUDANESE REFUGEES IN UGANDA MAY EXCEED 100,000 World Food Programme","747 words"," Africa News","","",
"Wale Akin Aina, NEWSWATCH","","","NEWSWATCH (Nigeria), May 31, 1993 STANDSTILL: Fuel scarcity, blackouts paralyse businesses,transportation; strikes paralyze education, banking services","5014 words"," Africa News","","",
"","","","RETURNED WOMEN FACE NEW BATTLES NEW NATION (South Africa), May 21-27, 1993","1320 words"," Africa News","","",
"","","","AFRICAN DEBT TABLES","663 words"," Africa News","","",
"","","","* BUSINESS","774 words"," Africa News","","",
"","","","* EDUCATION","4160 words"," Africa News","","",
"","","","* EMPLOYMENT","1080 words"," Africa News","","",
"","","","* VISITORS","720 words"," Africa News","","",
"","","","VIDEO","67 words"," Africa News","","",
"","","","* PUBLICATIONS","827 words"," Africa News","","",
"","","","* E X H I B I T I O N S","334 words"," Africa News","","",
"","","","* P L A N N I N G A H E A D","947 words"," Africa News","","",
"","","","* CALENDAR OF EVENTS","707 words"," Africa News","","",
"","","","REPORT ACHIEVING POST-SETTLEMENT PEACE IN MOZAMBIQUE: THE ROLE OF THE INTERNATIONAL COMMUNITY United States Institute of Peace","427 words"," Africa News","","",
"","","","REPORT MASSACRE OF UP TO 400 DISPLACED LIBERIANS DEMANDS INTERNATIONAL RESPONSE The U.S. Committee for Refugees","1267 words"," Africa News","","",
"","","","U.S. SENATE FOREIGN RELATIONS COMMITTEE SUBCOMMITTEE ON AFRICA - POLICY OPTIONS FOR ZAIRE","3600 words"," Africa News","","",
"","","","African Debt Tables","534 words"," Africa News","","",
"","","","BUSINESS","880 words"," Africa News","","",
"","","","EDUCATION","2454 words"," Africa News","","",
"","","","EMPLOYMENT","1174 words"," Africa News","","",
"","","","VISITORS","574 words"," Africa News","","",
"","","","PUBLICATIONS","1094 words"," Africa News","","",
