"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","","","House Africa Leader Changes","214 words"," Africa News","","",
"","","","DIPLOMACY WORKED","176 words"," Africa News","","",
"","","","THE SECOND TIME AROUND","353 words"," Africa News","","",
"","","","SOUTH AFRICA ALL-PARTY MEETING AIRED","480 words"," Africa News","","",
"","","","DEBY TAKEOVER USHERS OUT LIBYAN "CONTRAS'","1022 words"," Africa News","","",
"","","","Nigeria's Timetable To Civilian Rule","699 words"," Africa News","","",
"","","","AGENDA DEMOCRACY","1494 words"," Africa News","","",
"","","","BEARING THE BURDEN","538 words"," Africa News","","",
"","","","ANGOLA & MOZAMBIQUE: PEACE ON THE HORIZON?","1003 words"," Africa News","","",
"","","","SUDAN: A PLEA FOR SANCTIONS","566 words"," Africa News","","",
"","","","MILLIONS FACE SUFFERING","419 words"," Africa News","","",
"","","","EARLY GULF FALLOUT","559 words"," Africa News","","",
"","","","GULF COSTS DRAIN AFRICA","1181 words"," Africa News","","",
"","","","MUBARAK SAYS AFRICA MUST NOT BE MARGINALIZED","269 words"," Africa News","","",
"","","","EGYPT PONDERS FUTURE","1707 words"," Africa News","","",
"","","","ADIEU, MILLA","235 words"," Africa News","","",
"","","","PRETORIA'S BIG GUN","239 words"," Africa News","","",
"","","","DELAYED REACTION","317 words"," Africa News","","",
"","","","OUT OF PART OF AFRICA","215 words"," Africa News","","",
"","","","AFRICAN ORCHESTRA PURSUES DREAM","611 words"," Africa News","","",
"","","","SOMALIA: REBUILDING SNAGGED BY DIVISIONS","673 words"," Africa News","","",
"","","","KENYA: NO VOTING IN 1991","706 words"," Africa News","","",
"","","","RWANDA SHOOTING SPARKS PEACE PUSH","787 words"," Africa News","","",
"","","","ZAIRE: MOBUTU READIES NEW PLOY","1282 words"," Africa News","","",
"","","","HOPES AND FEARS FOR CONTINENT'S CHILDREN","1140 words"," Africa News","","",
"","","","SOUTH AFRICA GRAPPLES WITH LAND ISSUE","1778 words"," Africa News","","",
"","","","PEOPLE","212 words"," Africa News","","",
