"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Panafrican News Agency","","","Business and Finance;Tax Revenue Boosts Congo's Coffers","294 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Business and Finance;U.S. Remains Largest Importer Of Nigerian Crude","440 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Reserves Tobacco Sales Boost Zimbabwe's Reserves","294 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;Uganda Bids Bye To League Of Poor Countries","480 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Zambia To Increase Non-Traditional Exports","307 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","Angola;UN Observer Mission For Angola","360 words"," Africa News","","",
"United States Information Agency","","","United States and Africa; U.S. Supports Peace Force, Asks Kabila to Cooperate","574 words"," Africa News","","",
"The White House (Washington)","","","United States and Africa; Clinton Reports to Congress on Libya","1227 words"," Africa News","","",
"U.S. Agency for International Development (USAID)","","","United States and Africa; GREAT LAKES - Complex Emergency Situation Report #39","5040 words"," Africa News","","",
"Action by Churches Together(ACT)","","","Congo (Kinshasa); Churches aid Congolese displaced","1467 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Botswana; Authorities Hear Media Over Draft Bill","880 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Zambia; Police Question Reporters Over Articles","1067 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Science and Health;Namibia in running for WHO office","467 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;Cold adds to energy problems","827 words"," Africa News","","",
"Staff Reporter, The Namibian (Windhoek)","","","Arts and Entertainment;Hip Hop Nation","1254 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;Hostel superintendent in custody","814 words"," Africa News","","",
"Conrad Angula, The Namibian (Windhoek)","","","Sports - Soccer;Prospects bright for Cameroon tie","854 words"," Africa News","","",
"Helge Schutz, The Namibian (Windhoek)","","","Namibia;Kosie slices open spy agency Bill","614 words"," Africa News","","",
"Thabo Mabaso, Business Reporter, Cape Argus (Cape Town)","","","Business and Finance;Landmark decision on SA food, canning industry","627 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Democracy at grassroots (Editorial)","440 words"," Africa News","","",
"Gavin Rich, Cape Argus (Cape Town)","","","Sports - General;Bok coach's big gamble on rookie De Beer","694 words"," Africa News","","",
"John Freudenberg, Cape Argus (Cape Town)","","","South Africa;Percy Sonn: lawman who's keeping eye firmly on the ball","1240 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","Sports - General;Bid team out to woo Asian votes for Cape","200 words"," Africa News","","",
"Gary van Dyk, Cape Argus (Cape Town)","","","Arts and Entertainment;Henry Shields: the record business and all that jazz","1214 words"," Africa News","","",
"Minister of Water Affairs and Forestry Kader Asmal, Cape Argus (Cape Town)","","","Sports - General;Bid means new hope for all Africans","2160 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;Census: You're 1 in 37,9 million","800 words"," Africa News","","",
"Sheikh Chifuwe in Kabwe, Post of Zambia (Lusaka)","","","Zambia;Inkosi Mavumbla mourns the status of Zambian chiefs","774 words"," Africa News","","",
"Amos Malupenga in Kitwe, Post of Zambia (Lusaka)","","","Zambia;CBU to train Malawian mineral explorers","267 words"," Africa News","","",
"Post of Zambia (Lusaka)","","","Zambia;Judge Bwalya's Commission","1107 words"," Africa News","","",
"Masautso Phiri and Reuben Phiri, Post of Zambia (Lusaka)","","","Zambia;Opposition defends Ngulube","840 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;State extends blue book renewal deadline","534 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;University councils need more teeth, says don","574 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Opinion (Editorial)","574 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Split looms in opposition","707 words"," Africa News","","",
