"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Luanshya mines sold","520 words"," Africa News","","",
"Sports Reporter, Times of Zambia (Lusaka)","","","Sports - Soccer;Turkish, Polish clubs eye Kangwa","774 words"," Africa News","","",
"Sports Reporter, Times of Zambia (Lusaka)","","","Sports - Soccer;National squad in camp","507 words"," Africa News","","",
"Sports Reporter, Times of Zambia (Lusaka)","","","Sports - General;ZMSA raises rally cash","454 words"," Africa News","","",
"Martin Musunka, Times of Zambia (Lusaka)","","","Sports - Soccer;Wanderers whack Lusaka","720 words"," Africa News","","",
"Sports Reporter, Times of Zambia (Lusaka)","","","Sports - General;Squash ace Lingashi excels","560 words"," Africa News","","",
"Choongo Moonga, Times of Zambia (Lusaka)","","","Business and Finance;K713m Chilanga shares exchange hands","494 words"," Africa News","","",
"Choongo Moonga, Times of Zambia (Lusaka)","","","Business and Finance;IBM appoints Lusaka business partner","400 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;"Racist" manager faces chop","267 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;ZNPF donates 50 blankets to hospital","494 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Briton, Zambian deny charge","400 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Pay debt, court orders UNIP","760 words"," Africa News","","",
"Mildred Mpundu, Times of Zambia (Lusaka)","","","Zambia;When the rapist is a cop!","1627 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Measures against drug abuse taken","214 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Averting flood disaster","146 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Disaster vulnerability workshop opens","146 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Desertification convention ratified","120 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;House debates budget proposal","240 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Congress approves appointment of judges","187 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Defence lawyer appeals to court to free clients","880 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Neighboring regions agree to work for development","307 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;President welcomes Chinese sovereignty over Hong Kong","214 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Truth Commission On Amnesty Decisions","2640 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;Plane crashes in Caprivi","480 words"," Africa News","","",
"Staff Reporter, The Namibian (Windhoek)","","","Namibia;Himba make headlines in Sweden","880 words"," Africa News","","",
"Oscar Johnson, The Namibian (Windhoek)","","","Namibia;Nujoma promises ex-fighters jobs","654 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;Bribery bombshell officials accused of docket scam","654 words"," Africa News","","",
"Helge Schutz, The Namibian (Windhoek)","","","Namibia;Pro-Epupa group petitions President","320 words"," Africa News","","",
"Helge Schutz, The Namibian (Windhoek)","","","Namibia;Doubts over neutrality of spy agency","387 words"," Africa News","","",
"Choongo Moonga, Times of Zambia (Lusaka)","","","Business and Finance;African trade growing rapidly","360 words"," Africa News","","",
"Choongo Moonga, Times of Zambia (Lusaka)","","","Business and Finance;Dunlop cries for help","480 words"," Africa News","","",
"Choongo Moonga, Times of Zambia (Lusaka)","","","Business and Finance;Consultancy firm spreads wings","400 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Bailiffs pounce on Kabwe Council","827 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Fellowship to train 200 ex-convicts","440 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;MMD warns cadres","560 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Residents deplore police brutality","414 words"," Africa News","","",
"Melody Mwala, Times of Zambia (Lusaka)","","","Sports - General;Chingangu falls in London","480 words"," Africa News","","",
"Timothy Sichela, Times of Zambia (Lusaka)","","","Sports - General;Over 60 apply to be marshals","374 words"," Africa News","","",
"Sports Reporter, Times of Zambia (Lusaka)","","","Sports - Soccer;Two pull out of national squad","400 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Yes ghost students exist, says Chikange","600 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Polls petitioner loses bid","614 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Churches plan anti-crime crusade","747 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;World Vision, Unicef sign water pact","374 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Opinion (Editorial)","667 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambian mine to set up acid plant in Luanshya","560 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Be true representatives, urges Chiluba","614 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Parties talks put on hold","694 words"," Africa News","","",
"Joe Kaunda, Post of Zambia (Lusaka)","","","Zambia;Miyanda accused of ignoring Kabwata","707 words"," Africa News","","",
"Sundie Sinkala, Post of Zambia (Lusaka)","","","Zambia;Only 14% of Lusaka garbage is collected","694 words"," Africa News","","",
"Sundie Sinkala, Post of Zambia (Lusaka)","","","Zambia;Woman reminds FTJ to honour house pledge","440 words"," Africa News","","",
"Post of Zambia (Lusaka)","","","Zambia;Suspicious spouses","787 words"," Africa News","","",
"Sundie Sinkala, Post of Zambia (Lusaka)","","","Zambia;Only 14% of Lusaka garbage is collected","734 words"," Africa News","","",
"Sundie Sinkala, Post of Zambia (Lusaka)","","","Zambia;ZIMA starts radio programme","374 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Zambia;Mung'omba's wife fined","374 words"," Africa News","","",
"Moses Sserwanga and Henry Tumwine, New Vision (Kampala)","","","Uganda;Army's rebel hunt nears fort portal","654 words"," Africa News","","",
"Edson Bagada and Anne Mugisa, New Vision (Kampala)","","","Uganda;Thousands flee to Congo","414 words"," Africa News","","",
"John B. Nzinjah, New Vision (Kampala)","","","Business and Finance;Ugandan coffee traders warned","227 words"," Africa News","","",
"Smarts Byakagaba, New Vision (Kampala)","","","Uganda;Hoima project disburses shs 76m","200 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Border clearing firms in class","400 words"," Africa News","","",
"Abraham Odeke, New Vision (Kampala)","","","Uganda;Kenya beer in trouble over reduced prices","400 words"," Africa News","","",
"Edith Kimuli, New Vision (Kampala)","","","Business and Finance;Ugandan lawyer sues former Pepsi manufactures","294 words"," Africa News","","",
"D. Kasasa, New Vision (Kampala)","","","Business and Finance;Ugandan tyre experts give tips to commuters","347 words"," Africa News","","",
"Frederick Wamala, New Vision (Kampala)","","","Business and Finance;Uganda coffee federation goes hitech","480 words"," Africa News","","",
"Edson Bagada and Anne Mugisa, New Vision (Kampala)","","","Uganda;Thousands flee to Congo","414 words"," Africa News","","",
"Jennifer Bakyawa and Joyce Namutebi, New Vision (Kampala)","","","Uganda;Interim authority set for districts","454 words"," Africa News","","",
"Michael Sentongo, New Vision (Kampala)","","","Uganda;Kimera, Ndagire deny rebellion against Buganda","414 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Land Reform Needed (Editorial)","667 words"," Africa News","","",
"John Eremu and Victoria Namuyomba, New Vision (Kampala)","","","Uganda;Three more drug traffickers netted","347 words"," Africa News","","",
"Abubaker Mukose, New Vision (Kampala)","","","Uganda;Kirunda pays NSSF","174 words"," Africa News","","",
"James Oweka, New Vision (Kampala)","","","Uganda;Kazini Explains Kitgum Deaths","334 words"," Africa News","","",
"Nathan Etengu, New Vision (Kampala)","","","Uganda;Three thugs beheaded in Mbale","294 words"," Africa News","","",
"Ofwono-Opondo and John Kakande, New Vision (Kampala)","","","Uganda;Movement bill debate on today","507 words"," Africa News","","",
"Simon Kaheru and Scarno Matovu, New Vision (Kampala)","","","Uganda;Museveni calls for youth elections","520 words"," Africa News","","",
"Barry Glasspool, Cape Argus (Cape Town)","","","Sports - General;Jannie's amazing comeback","734 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","Sports - General;Cape Town bid 'a force to be reckoned with'","414 words"," Africa News","","",
"Ian Macdonald, Cape Argus (Cape Town)","","","Arts and Entertainment;Ariel Dorfman: deals with 'social earthquakes'","1227 words"," Africa News","","",
"Cape Argus (Cape Town)","","","Sports - General;Calling in the big guns (Editorial)","480 words"," Africa News","","",
"Alide Dasnois, Cape Argus (Cape Town)","","","South Africa;Job creation slow but steady","1320 words"," Africa News","","",
"Andrea Weiss and Sharkey Isaacs, Cape Argus (Cape Town)","","","South Africa;District Six: It's all yours, families told","574 words"," Africa News","","",
"Panafrican News Agency","","","Ethiopia;Ethiopia Has 5.5 million Destitute Children","240 words"," Africa News","","",
"Panafrican News Agency","","","Mauritius;Cabinet Reshuffle In Mauritius","400 words"," Africa News","","",
"Peter Efande, PANA Correspondent, Panafrican News Agency","","","Sport - Soccer;Frustrated, Cameroon's Belgian Coach Resigns","534 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Lonrho Resists Merger With Black Business Group","760 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","Sierra Leone;Liberia;Envoy Alleges Liberia Is Behind Sierra Leon Coup","360 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Nigeria Shifts Transition Time-Table","360 words"," Africa News","","",
"Panafrican News Agency","","","Zimbabwe;Banana Has Case To Answer - Attorney-General","574 words"," Africa News","","",
"National Party (South Africa)","","","South Africa; NP Says ANC Interferes in Boesak Probe","280 words"," Africa News","","",
"Oscar Okech, New Vision (Kampala)","","","Uganda;Skills hamper Kotido farmers","160 words"," Africa News","","",
"David Musoke, New Vision (Kampala)","","","Uganda;Uganda set for coffee wilt workshop","520 words"," Africa News","","",
"John Eremu, New Vision (Kampala)","","","Business and Finance;COLGATE awards creativity","214 words"," Africa News","","",
"John Eremu, New Vision (Kampala)","","","Business and Finance;Congolese envoy beckons locals in trade links","440 words"," Africa News","","",
"Paul Busharizi, New Vision (Kampala)","","","Uganda;SWIPCO claims savings on government tenders","240 words"," Africa News","","",
"John Eremu, New Vision (Kampala)","","","Uganda;CAA to ban DMC taxis to airport","254 words"," Africa News","","",
"Alfred Wasike, New Vision (Kampala)","","","Uganda;300 pick up new fuel cards","400 words"," Africa News","","",
"Vision Reporter, New Vision (Kampala)","","","Business and Finance;Bumba defends ENHAS status","600 words"," Africa News","","",
"John Eremu, New Vision (Kampala)","","","Uganda;URA acquire radars","160 words"," Africa News","","",
"David Musoke, New Vision (Kampala)","","","Business and Finance;Expert urges adopting proper title system","414 words"," Africa News","","",
"Hillary Nsambu, New Vision (Kampala)","","","Business and Finance;'Businessman's car wrongly impounded'","360 words"," Africa News","","",
"Moses Sserwanga, New Vision (Kampala)","","","Uganda;Civil servants dash back to Bundibugyo","334 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;The flag goes down","774 words"," Africa News","","",
"Yunusu Abbey and Alfred Wasike, New Vision (Kampala)","","","Uganda;Trader yet to sue --Katureebe","374 words"," Africa News","","",
"Asuman Nakendo, New Vision (Kampala)","","","Uganda;UMSC vows to resist proposed assembly","307 words"," Africa News","","",
"Grace Matsiko, New Vision (Kampala)","","","Uganda;Ssemujju wants escorts","440 words"," Africa News","","",
"Nathan Etengu, New Vision (Kampala)","","","Uganda;Mbale discusses security","267 words"," Africa News","","",
"Godfrey Olukya, New Vision (Kampala)","","","Uganda;Robbers murder trader","267 words"," Africa News","","",
"Henry Tumwine, New Vision (Kampala)","","","Uganda;Rebels kill 2 in Karago","254 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Mengo royals remain divided","440 words"," Africa News","","",
"New Vision (Kampala)","","","Congo (Kinshasa);Kabila blocks UN probe","574 words"," Africa News","","",
"Grace Matsiko, New Vision (Kampala)","","","Uganda;UPDF will leave Kampala in August","560 words"," Africa News","","",
"Vision Reporter, New Vision (Kampala)","","","Business and Finance;Anti-smuggling operation nets goods worth 25m/=","227 words"," Africa News","","",
"Grace Matsiko, New Vision (Kampala)","","","Business and Finance;Philips opens up shop in Kampala","374 words"," Africa News","","",
"John Odyek, New Vision (Kampala)","","","Business and Finance;Kenya-Uganda oil pipeline soon","427 words"," Africa News","","",
"Denis Ocwich, New Vision (Kampala)","","","Uganda;Russians, Langi to buy mill","307 words"," Africa News","","",
"Betty Kagoro, New Vision (Kampala)","","","Uganda;Kabaka coronation set for August","240 words"," Africa News","","",
"Emmy Allio and Yunusu Abbey, New Vision (Kampala)","","","Uganda;Don't link Aboke girls to POWs - Sudan","320 words"," Africa News","","",
"Moses Sserwanga, New Vision (Kampala)","","","Uganda;Angina urges ADF rebels to surrender","574 words"," Africa News","","",
"Joyce Namutebi, New Vision (Kampala)","","","Uganda;Owino venders protest rate hike","334 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Make school visitation interactive (Editorial)","934 words"," Africa News","","",
"Francis Mutazindwa and Emmy Allio, New Vision (Kampala)","","","United States and Africa;US to train Ugandan Units","480 words"," Africa News","","",
"Yunusu Abbey, New Vision (Kampala)","","","Uganda;Airlines hires foreign pilots","267 words"," Africa News","","",
"Gilbert Awekofua, New Vision (Kampala)","","","Uganda;Fuel smuggling at peak","400 words"," Africa News","","",
"Emmy Allio, New Vision (Kampala)","","","Uganda;Aboke girls' release to top IGAD agenda","507 words"," Africa News","","",
"Jonathan Angura, New Vision (Kampala)","","","Uganda;Mayanja received KK's fuel","480 words"," Africa News","","",
"John Kakande and Ofwono Opondo, New Vision (Kampala)","","","Uganda;House adjourned over election funds","894 words"," Africa News","","",
"Vision Reporter, New Vision (Kampala)","","","Uganda;Buddo, Namgunga lead A-level list","987 words"," Africa News","","",
"Masautso Phiri, Post of Zambia (Lusaka)","","","Zambia;Police ban opposition rallies","720 words"," Africa News","","",
"Reuben Phiri, Post of Zambia (Lusaka)","","","Zambia;Judge Chanda apologises","480 words"," Africa News","","",
"Sundie Sinkala, Post of Zambia (Lusaka)","","","Zambia;Tongas use 'magical tree' to protect environment","1187 words"," Africa News","","",
"Goodson Machona, Post of Zambia (Lusaka)","","","Zambia;FTJ admits there's corruption in his govt","1360 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Hotel Inters scouts for $10m","454 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Kitwe businessmen hail VAT reduction","320 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;CBU chairman lets cat out of bag","520 words"," Africa News","","",
"Margaret Mangani, Times of Zambia (Lusaka)","","","Zambia;Judge Chanda says sorry","427 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Crucial Stage in Zambian Copper Privatization (Editorial)","560 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Church, polls body criticise opposition","627 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Nakonde farmers launch project","347 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Mansa appeals for donor funds","707 words"," Africa News","","",
"Melody Mwala, Times of Zambia (Lusaka)","","","Sports - Soccer;Namazaba recalled","600 words"," Africa News","","",
"Timothy Sichela, Times of Zambia (Lusaka)","","","Sports - General;Rally service van stolen","374 words"," Africa News","","",
"Martha Mphande, Times of Zambia (Lusaka)","","","Zambia;Learning ABC from an ex-street kid","1240 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Pay clients, legal firm told","640 words"," Africa News","","",
"Choongo Moonga, Times of Zambia (Lusaka)","","","Business and Finance;Namibia trade team heads for Zambia","387 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Zamtel cables torched","454 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Union backs 'rebels' expulsion","467 words"," Africa News","","",
"Jabu Matsebula, African Eye News Service (South Africa)","","","Swaziland;Swaziland petrol price set to increase","254 words"," Africa News","","",
"Jabu Matsebula, African Eye News Service (South Africa)","","","Business and Finance;Gencor's Mozambique line awaits Swaziland Cabinet","600 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;Council cashiers to get safety glass","214 words"," Africa News","","",
"Jabu Matsebula, African Eye News Service (South Africa)","","","Swaziland;Woman takes reins of turbulent Swazi banking sector","1254 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;Welcome to Nelspruit in four languages","133 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Silent attack on family of seven","360 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Intensive search for drowned farmer","174 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Business and Finance;Okavango pipeline plan put on hold","560 words"," Africa News","","",
"Oswald Shivute, The Namibian (Windhoek)","","","Namibia;Torture charges mounting by day","814 words"," Africa News","","",
"Oscar Johnson, The Namibian (Windhoek)","","","Namibia;President's promise fails to move fighters","374 words"," Africa News","","",
"Staff Reporter, The Namibian (Windhoek)","","","Namibia;Second pilot in Caprivi death crash","427 words"," Africa News","","",
"Khutliso Sekoati, Mopheme/The Survivor (Maseru)","","","Lesotho;BCP Hypocrisy Tickles on ANC","640 words"," Africa News","","",
"Lawrence Keketso, Mopheme/The Survivor (Maseru)","","","Lesotho;Mokhehle shows good gentlemanship - Qhobela","800 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Sports - General;Ethiopian Athletes Prove their Might in Paris","200 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Sports - General;Nation's Boxers Earn Four Medals","106 words"," Africa News","","",
"Dr. Richard Pankhurst, Addis Tribune (Addis Ababa)","","","Ethiopia;The Unfinished History of the Aksum Obelisk Return Struggle","1814 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;UNDP Administrator to Co-chair Governance Forum","787 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Senior Officials Attend Independence Day","134 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Science and Health;Eradicating Polio, Dose by Dose","414 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Norway Grants Over 37 Million Birr to Ethiopia","120 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Insurance Opens Branch Office in Dire Dawa","320 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Sudan;Regional Summit on Sudan's Civil War to be Held","214 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Professionals Pledge to Promote Heritage","133 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;House Deliberates on 1990 E.C. Budget","294 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Africa-at-Large;OAU Experts Hold Meeting on EU-ACP Relations","680 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Africa-at-Large;Africans Complain of Decline of Development Assistance","280 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Donor Organisations Get Loan of Food","334 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Lawyers Defending Derg Officials Demand Fee Increase","240 words"," Africa News","","",
"Our Economics Correspondent, Addis Tribune (Addis Ababa)","","","Business and Finance;The Struggle For More From Ethiopia's Budget","1214 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Ethiopia Says Britain "Misreading" Convention","520 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Business and Finance;Ethiopian Textile Goes for Bid","187 words"," Africa News","","",
"Tamrat Bekele (Editorial), Addis Tribune (Addis Ababa)","","","Ethiopia;Customs Office Needs Reform","280 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;The Human Predicament In the Struggle For Survival","1587 words"," Africa News","","",
"Daniel Yacob, Addis Tribune (Addis Ababa)","","","Science and Health;Towards Information Society in Ethiopia","534 words"," Africa News","","",
"Professor Richard Pankhurst, Addis Tribune (Addis Ababa)","","","Ethiopia;British Attempt to Obstruct the Course of Justice?","400 words"," Africa News","","",
"Nigel Turner (Column), Zimbabwe Independent (Harare)","","","Zimbabwe;Of telephonists, music and the new cellphone brigade","1587 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Business and Finance;Zimbabwe's Dairibord flotation breaks three records","1414 words"," Africa News","","",
"Eric Bloch (Column), Zimbabwe Independent (Harare)","","","Zimbabwe;Zimbabwe's statistical lies a disaster","1680 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Muckraker: Malicious propaganda and pipe-dreams (Column)","1494 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Business and Finance;The predatory state lives on","1347 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Sports - General;SA and Hong Kong ready for Zim","534 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Sports - Soccer;Highlanders could lose Nkonjera and Sibanda","374 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Sports - General;Hennie Le Roux coming to Zimbabwe","360 words"," Africa News","","",
"Vincent Kahiya, Zimbabwe Independent (Harare)","","","Sports - General;Racing drivers want ban to reduce accidents","640 words"," Africa News","","",
"Vincent Kahiya, Zimbabwe Independent (Harare)","","","Sports - General;Willards and Lyons join in sports project","720 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Tinkler joins UK premier side","427 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Science and Health;Science university completion set for November","360 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Business and Finance;Intermarket gains Zambian market confidence","560 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Business and Finance;Zimbabwe hotel construction hits snag","667 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Science and Health;Pressure group calls for AIDS protest against Norway","494 words"," Africa News","","",
"Nidaa Bakhsh, Zimbabwe Independent (Harare)","","","Zimbabwe;Diplomat fails to settle $260 000 Indian debt","827 words"," Africa News","","",
"Kelvin Jakachira, Zimbabwe Independent (Harare)","","","Business and Finance;Scramble for Zimbabwe's Christmas Pass Hotel","627 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Banana has case to answer -- Chinamasa","414 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;NSSA realises $300 million from investment","614 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Legal action mooted to recover VIP housing funds","574 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Business and Finance;Zimbabwe's Affretair needs $228m to stay aloft","920 words"," Africa News","","",
