"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Zimbabwe Standard (Harare)","","","Zimbabwe;Government shows contempt for people (Editorial)","449 words"," Africa News","","",
"Joyce Hamba, Zimbabwe Standard (Harare)","","","Zimbabwe;Tax increases induce shopping sprees","284 words"," Africa News","","",
"Joyce Hamba, Zimbabwe Standard (Harare)","","","Zimbabwe;Galz breaks silence on Banana case","393 words"," Africa News","","",
"Thabo Kunene, Zimbabwe Standard (Harare)","","","Zimbabwe;Zapu political prisoners still in prison","248 words"," Africa News","","",
"Joyce Hamba, Zimbabwe Standard (Harare)","","","Zimbabwe;Tawengwa and councillors in land row","184 words"," Africa News","","",
"Staff Writer, Zimbabwe Standard (Harare)","","","Zimbabwe;AAG-a background noise maker, executive","360 words"," Africa News","","",
"Zimbabwe Standard (Harare)","","","Africa-at-Large;EU implements international agreement on elephant products","329 words"," Africa News","","",
"Joyce Hamba, Zimbabwe Standard (Harare)","","","Zimbabwe;ZCTU threatens strikes over vets","333 words"," Africa News","","",
"Zimbabwe Standard (Harare)","","","Zimbabwe;Local politicians query farm list","852 words"," Africa News","","",
"United States Information Agency","","","United States and Africa; Pres. Mission To Africa Will Be 'Historic,' Rangel Says","6455 words"," Africa News","","",
"United States Information Agency","","","United States and Africa; Biography Of Congressman Charles B. Rangel","638 words"," Africa News","","",
"United States Information Agency","","","United States and Africa; Jackson Expresses Hope For Free, Fair Elections In Kenya","268 words"," Africa News","","",
"Nation Reporters And Correspondents, The Nation (Nairobi)","","","Kenya;Ford-K now extends nomination deadline","413 words"," Africa News","","",
"David Aduda, The Nation (Nairobi)","","","Kenya;Moi calls for more dentists","462 words"," Africa News","","",
"Michael Obera, The Nation (Nairobi)","","","Sports - General;Battle for top honours starts","307 words"," Africa News","","",
"Francis Mureithi, The Nation (Nairobi)","","","Sports - Soccer;Abeingo's hopes dashed","453 words"," Africa News","","",
"The Nation (Nairobi)","","","Kenya;Will AIDS' vicious march be halted? (Editorial)","379 words"," Africa News","","",
"Nation Reporter, The Nation (Nairobi)","","","Kenya;US keen on free poll, says Jackson","303 words"," Africa News","","",
"Nation Team, The Nation (Nairobi)","","","Kenya;Nurses defy sack threat","1100 words"," Africa News","","",
"Vincent Mwangi, The Nation (Nairobi)","","","Kenya;Koigi free to seek top seat","422 words"," Africa News","","",
"Business Malawi (Blantyre)","","","Malawi;Will Malawi Kwacha Catch The Zimdollar Cold?","327 words"," Africa News","","",
